,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_46,0.23455603,0.25836945,0.25129104,0.0,0.26684803,0.05077766,mild,T,1,6,2.788915173928771,0.35856235763215794,TAPE,,,
lnc_11,0.3495224,0.11952725,0.09529066,0.096259296,0.3933242,0.14683737,mild,T,2,6,1.4347968164684501,0.6969627953743017,TAPE,,,
lnc_19,0.19367637,0.28626907,0.2204148,0.0,0.30005473,0.10502599,mild,T,3,6,2.3341083141732177,0.428429132413342,TAPE,,,
lnc_25,0.25346437,0.2271215,0.2167409,0.0,0.25724912,0.11464515,mild,T,4,6,2.710706143523445,0.36890756395312346,TAPE,,,
lnc_40,0.22522952,0.22098733,0.21972404,0.02106848,0.34265554,0.11850339,mild,T,5,6,1.9434703726080134,0.5145434754727255,TAPE,,,
lnc_6,0.064764656,0.33857527,0.24817675,0.04144121,0.3140576,0.101286605,moderate,T,8,7,2.074513324944214,0.48204076974385845,TAPE,,,
lnc_8,0.31511822,0.14781737,0.22249666,0.018140908,0.20281337,0.11634106,moderate,T,9,7,3.3796206334917667,0.2958911985830839,TAPE,,,
lnc_16,0.1938094,0.19585314,0.2191932,0.031685032,0.34161508,0.17548662,moderate,T,10,7,1.7822858990885295,0.5610772101778987,TAPE,,,
lnc_31,0.16305743,0.27388817,0.25450248,0.018420666,0.30664504,0.09116994,moderate,T,11,7,2.254881018130931,0.4434823797616156,TAPE,,,
lnc_35,0.16226031,0.19787423,0.21207199,0.042646136,0.37385345,0.19854993,moderate,T,12,7,1.5305637275782797,0.6533540433381632,TAPE,,,
lnc_44,0.121685915,0.22304548,0.23152876,0.025430191,0.342353,0.20623183,moderate,T,13,7,1.6832338405096492,0.5940945196879004,TAPE,,,
lnc_14,0.12665823,0.16257966,0.28632647,0.0,0.25851533,0.23474291,serious,T,14,8,2.226422549099893,0.4491510384694424,TAPE,,,
lnc_24,0.30885896,0.10192516,0.12640248,0.099892564,0.40601075,0.1721172,serious,T,15,8,1.3230846720191525,0.7558095268943789,TAPE,,,
lnc_36,0.26177928,0.10434584,0.2500834,0.0035041077,0.2715206,0.19116437,serious,T,16,8,2.269472445184638,0.4406310383374771,TAPE,,,
lnc_30,0.15111941,0.26734,0.23873872,0.029172994,0.33077753,0.119505785,serious,T,18,8,1.9868282165357485,0.5033147766260382,TAPE,,,
