"Bcells","CD4Tcells","CD8Tcells","Dendritics","Monocytes","NK"
"lnc_10",0.0593884852052287,0,0.326080510822218,0.00260419439209081,0.268061066895886,0.343865742684576
"lnc_11",0,0,0,0.00384609228827256,0.337347499160654,0.658806408551074
"lnc_13",0,0,0,0.00220794667665825,0.588000430081892,0.40979162324145
"lnc_14",0,0,0,0,0.386351069532938,0.613648930467062
"lnc_15",0.0224910400029597,0,0.0718826373611231,0,0.328903841784949,0.576722480850968
"lnc_16",0.00123262985393769,0,0,0.0682765296726265,0.255606506828495,0.67488433364494
"lnc_17",0.16118165774244,0,0.00145653156871055,0.0716623271039534,0.104199732165786,0.66149975141911
"lnc_18",0.0606855394943104,0,0.110434872628261,0.0171360092304932,0.240225963940108,0.571517614706828
"lnc_19",0.00149967358573629,0,0.00162155549001205,0.00394722740097451,0.393222555128286,0.599708988394991
"lnc_20",0.00210467582753588,0,0.151774917072216,0,0.394356020922551,0.451764386177697
"lnc_21",0,0,0,0,0.402146246339392,0.597853753660608
"lnc_23",0.00173894893886723,0,0.00101022356822611,0.0233744368663644,0.303250933762527,0.670625456864015
"lnc_24",0,0,0.035404948038359,0,0.344004115026115,0.620590936935526
"lnc_25",0.218088512945217,0,0,0.123132861079653,0.092051066931777,0.566727559043354
"lnc_26",0.134235045275683,0,0,0,0.214285869993111,0.651479084731206
"lnc_27",0.15365547542504,0,0.0007215101663068,0.0033125875856137,0.184919522566448,0.657390904256592
"lnc_28",0.12179954359747,0.130426064371619,0,0.0309122779420495,0.0689686398588841,0.647893474229978
"lnc_29",0,0,0,0,0.341361722451456,0.658638277548544
"lnc_30",0,0,0,0.00413736238271282,0.419951776106861,0.575910861510426
"lnc_31",0.0799822645714012,0.079149072348824,0.0306024814184745,0.110232233335169,0.214514543227506,0.485519405098625
"lnc_33",0,0,0.0661682572266518,0,0.363725319239603,0.570106423533746
"lnc_34",0,0,0,0,0.303892713562942,0.696107286437058
"lnc_35",0,0,0,0,0.351880217436511,0.648119782563489
"lnc_36",0,0,0,0,0.389713398045769,0.610286601954231
"lnc_37",0,0,0,0,0.309562466415911,0.690437533584089
"lnc_38",0,0,0,0,0.27901936774492,0.72098063225508
"lnc_39",0.00131046814756562,0,0.0012025924174761,0.00239131094733439,0.249992563572866,0.745103064914758
"lnc_40",0,0,0.000746513525731294,0.0368986733552676,0.485702872528874,0.476651940590127
"lnc_41",0,0,0,0.071607876991564,0.299427659259933,0.628964463748503
"lnc_44",0,0,0,0,0.542671196322083,0.457328803677917
"lnc_45",0.0245584805048986,0,0.00745765488211031,0.00512870721024222,0.354930098315945,0.607925059086804
"lnc_46",0,0,0,0.0386691819355461,0.209361631178895,0.751969186885559
"lnc_47",0,0,0,0,0.401417133890763,0.598582866109237
"lnc_5",0.0492027433720399,0,0,0.0385976346236687,0.338245137650014,0.573954484354277
"lnc_6",0,0,0,0.00816997675584203,0.260342787116267,0.731487236127891
"lnc_7",0.00936737005036773,0,0,0.0400520448540397,0.351127741575812,0.59945284351978
"lnc_8",0,0,0,0.00300656854354471,0.324241426143761,0.672752005312694
"lnc_9",0,0,0,0,0.34707313492989,0.65292686507011
