,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
Bulk 0,0.08603978390041589,0.0,0.044931198059108016,0.3098369658715915,0.06770841371233839,0.4914836384565461
Bulk 1,0.06460164478747576,0.0,0.0,0.3319336488217324,0.07727647309974062,0.5261882332910511
Bulk 2,0.05630153515007434,0.0,0.0,0.3338390089766016,0.09639156915927913,0.5134678867140449
Bulk 3,0.08090366040449065,0.0,0.0037980803984922155,0.31599357918882753,0.0926057369573064,0.5066989430508833
Bulk 4,0.09255085739359206,0.0,0.026308918773361886,0.33984517794870495,0.06877284976163653,0.47252219612270446
Bulk 5,0.09242308706942949,0.0,0.0029697857406072686,0.30884060558594484,0.08247686985001108,0.5132896517540073
Bulk 6,0.08481867938798898,0.0,0.021491535701871366,0.32873891395539634,0.06306820113913075,0.5018826698156126
Bulk 7,0.08566449442477729,0.0,0.017085240062546442,0.3294471601011615,0.0692071139378608,0.49859599147365397
Bulk 8,0.07845644360360855,0.0,0.01517921899922369,0.326504536495582,0.07055024157172453,0.5093095593298612
Bulk 9,0.07498232980623631,0.0,0.010248484713844609,0.31694725497036397,0.06573788613407099,0.5320840443754841
Bulk 10,0.07591172553428094,0.0,0.0,0.339200676370481,0.0829005082796795,0.5019870898155585
Bulk 11,0.074732001967168,0.0,0.031425801220118274,0.33238506572921844,0.07310073469388903,0.4883563963896062
Bulk 12,0.07439486719390663,0.0,0.05259902330839847,0.31850779640207744,0.07275182593142966,0.4817464871641879
Bulk 13,0.08534303867160885,0.0,0.0022982216314904025,0.33371901988371355,0.06069800587083241,0.5179417139423549
Bulk 14,0.07150190630842174,0.0,0.04804262346033081,0.3194729443125908,0.05799056921881216,0.5029919566998445
Bulk 15,0.07627856201062061,0.0,0.0071539619318054335,0.3397225619844318,0.0663352998910437,0.5105096141820985
Bulk 16,0.053812209200118366,0.0,0.0,0.3645220667388936,0.04419038256838637,0.5374753414926016
Bulk 17,0.0743579560852309,0.0,0.0007327322044528546,0.33523194658701766,0.061224062173039544,0.528453302950259
Bulk 18,0.07983433023876634,0.0,0.0019033422532886918,0.3084053422615063,0.07984444837477726,0.5300125368716615
Bulk 19,0.08224387699781499,0.0,0.03483409877614885,0.3137026745547043,0.061660179977268,0.5075591696940638
Bulk 20,0.08978572972705492,0.0,0.011064946983202838,0.3242823269158714,0.07253409162025379,0.5023329047536171
Bulk 21,0.07859772634465673,0.0,0.0,0.3364159136801078,0.07753289251314334,0.507453467462092
Bulk 22,0.07700747999700555,0.0,0.0,0.34424421525814636,0.07913800874663385,0.4996102959982141
Bulk 23,0.06527061767044351,0.0,0.047669092445211114,0.3148965461057209,0.08474982797591762,0.487413915802707
Bulk 24,0.06163357491137863,0.0,0.04121272175207895,0.33401943327443506,0.07432522206406054,0.48880904799804686
Bulk 25,0.09210530278285982,0.0,0.01188016993718421,0.33479486432633454,0.07499887826623028,0.48622078468739105
Bulk 26,0.06131067553441917,0.0,0.0,0.3740423883287925,0.061568934123999206,0.5030780020127891
Bulk 27,0.07225742712731256,0.0,0.04739878457029874,0.3197037064560098,0.07700405013560474,0.48363603171077424
Bulk 28,0.057480833440859594,0.0,0.0,0.35876028512848285,0.07413164899032101,0.5096272324403364
Bulk 29,0.07199670381704934,0.0,0.0069406433696281924,0.32813770243682927,0.06750782613335592,0.5254171242431372
Bulk 30,0.06085836716496554,0.0,0.07696428935407347,0.30961148629121654,0.06939405543010103,0.48317180175964336
Bulk 31,0.07741196191625879,0.0,0.054699249818704436,0.3141744526177742,0.07587411531817798,0.4778402203290844
Bulk 32,0.05336184407163481,0.0,0.0,0.3508101333793455,0.0719645118126707,0.523863510736349
Bulk 33,0.06920647921846894,0.0,0.0016188789408444599,0.3484144469540377,0.055829647180107106,0.5249305477065418
Bulk 34,0.04311356717203568,0.0,0.0,0.36004314023020373,0.08033267794160616,0.5165106146561546
Bulk 35,0.08502799010264436,0.0,0.030430150854446097,0.32329852483446353,0.07286141994492909,0.48838191426351685
Bulk 36,0.02636297278907006,0.0,0.0,0.3632669335467647,0.09547520483722637,0.5148948888269389
Bulk 37,0.06069055166880661,0.0,0.0,0.34888346492554,0.0779423778324391,0.5124836055732142
