,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
lnc_10,0.20503503,0.22945295,0.19213107,0.032239955,0.26980293,0.07133813
lnc_11,0.18137944,0.20565669,0.11190566,0.038830657,0.3573916,0.10483599
lnc_13,0.27458954,0.048950836,0.029725343,0.058801748,0.48471785,0.10321465
lnc_14,0.28335652,0.14601293,0.041692883,0.031854253,0.37009603,0.12698743
lnc_15,0.17376092,0.25324875,0.11471628,0.024411395,0.2991458,0.1347169
lnc_16,0.28148422,0.16420981,0.037423015,0.051794834,0.3113112,0.15377691
lnc_17,0.22054067,0.19593243,0.12674803,0.028456865,0.19351667,0.23480533
lnc_18,0.20418224,0.19845907,0.14215477,0.02606101,0.26490483,0.16423814
lnc_19,0.14237395,0.1826421,0.18442969,0.035716794,0.30574378,0.14909375
lnc_20,0.09438583,0.251697,0.20538786,0.04774223,0.31964415,0.081143
lnc_21,0.18483472,0.15020704,0.1231672,0.03384944,0.3691466,0.13879505
lnc_23,0.043233983,0.256464,0.15560822,0.058044177,0.3546002,0.13204944
lnc_24,0.047363818,0.28779742,0.17193314,0.055571146,0.32566944,0.11166507
lnc_25,0.27884448,0.20712322,0.20687906,0.04152541,0.18680607,0.07882175
lnc_26,0.26729947,0.11745131,0.19785342,0.048535205,0.21577105,0.15308963
lnc_27,0.26864108,0.18968916,0.19989029,0.034516357,0.22929332,0.07796985
lnc_28,0.17661427,0.2509038,0.18858168,0.03611958,0.19067006,0.1571107
lnc_29,0.14664184,0.13256842,0.1229231,0.042476654,0.35100955,0.2043805
lnc_30,0.24893826,0.08719989,0.086329326,0.03466191,0.4208414,0.12202927
lnc_31,0.1679877,0.27801466,0.15566547,0.04338458,0.25425336,0.100694224
lnc_33,0.1346075,0.221661,0.18753192,0.03735218,0.31595996,0.10288751
lnc_34,0.072416574,0.10103028,0.10883063,0.039690264,0.41690665,0.26112562
lnc_35,0.111028664,0.09789043,0.11218296,0.035336897,0.4266731,0.21688795
lnc_36,0.13800916,0.12101655,0.1278348,0.033075035,0.4168559,0.1632086
lnc_37,0.10387458,0.1577808,0.15194586,0.032007366,0.33902192,0.21536951
lnc_38,0.16002867,0.054746084,0.17165415,0.031978823,0.33297542,0.24861687
lnc_39,0.10347741,0.11542189,0.21891859,0.02791109,0.26208326,0.27218774
lnc_40,0.15224838,0.11445922,0.14501703,0.041516654,0.4561059,0.09065284
lnc_41,0.1749271,0.0640125,0.1677736,0.04151687,0.35042128,0.20134865
lnc_44,0.21909684,0.029229045,0.04391582,0.06416321,0.5056007,0.13799447
lnc_45,0.21819106,0.17653084,0.15685406,0.042505406,0.34600744,0.059911236
lnc_46,0.21052411,0.060309213,0.19118306,0.034376502,0.27272213,0.230885
lnc_47,0.19258842,0.06693306,0.0979332,0.044286057,0.460119,0.1381403
lnc_5,0.18884358,0.118191086,0.14966556,0.044567775,0.36158615,0.13714589
lnc_6,0.19892308,0.13461906,0.10703149,0.028875988,0.32181495,0.20873547
lnc_7,0.11909144,0.20516604,0.14257956,0.042736214,0.34246373,0.14796305
lnc_8,0.1439499,0.14162658,0.17626789,0.03592341,0.34668335,0.15554892
lnc_9,0.15671234,0.21366602,0.11560494,0.023522016,0.37327135,0.11722335
