,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
lnc_10,0.23455603,0.25836945,0.25129104,0.0,0.26684803,0.05077766
lnc_11,0.22407146,0.25782886,0.20277244,0.024390612,0.32154125,0.09666481
lnc_13,0.3495224,0.11952725,0.09529066,0.096259296,0.3933242,0.14683737
lnc_14,0.33902594,0.20096269,0.117684625,0.01934689,0.33796138,0.12772703
lnc_15,0.19367637,0.28626907,0.2204148,0.0,0.30005473,0.10502599
lnc_16,0.3639528,0.18094651,0.09867482,0.029860836,0.2959388,0.14163369
lnc_17,0.27503997,0.19129568,0.18310922,0.0,0.1990738,0.18114984
lnc_18,0.25346437,0.2271215,0.2167409,0.0,0.25724912,0.11464515
lnc_19,0.19083855,0.23252657,0.23934348,0.01828656,0.30582002,0.12952043
lnc_20,0.11444066,0.29665112,0.2650259,0.041989096,0.3042236,0.084059775
lnc_21,0.22522952,0.22098733,0.21972404,0.02106848,0.34265554,0.11850339
lnc_23,0.06450683,0.2978338,0.25148204,0.056160234,0.33799464,0.12948483
lnc_24,0.064764656,0.33857527,0.24817675,0.04144121,0.3140576,0.101286605
lnc_25,0.3231211,0.19715178,0.23707476,0.0,0.17509049,0.04493934
lnc_26,0.31511822,0.14781737,0.22249666,0.018140908,0.20281337,0.11634106
lnc_27,0.30658537,0.20407343,0.23733616,0.0,0.21480292,0.05088202
lnc_28,0.1875436,0.2685303,0.2327393,0.0074423784,0.19199565,0.12075347
lnc_29,0.1938094,0.19585314,0.2191932,0.031685032,0.34161508,0.17548662
lnc_30,0.32584086,0.16658774,0.17419016,0.016799636,0.35616398,0.116087504
lnc_31,0.21166639,0.289282,0.21428438,0.007852717,0.2567612,0.080403134
lnc_33,0.16305743,0.27388817,0.25450248,0.018420666,0.30664504,0.09116994
lnc_34,0.11519686,0.20066856,0.20253369,0.058380477,0.36492348,0.23793687
lnc_35,0.16226031,0.19787423,0.21207199,0.042646136,0.37385345,0.19854993
lnc_36,0.18799847,0.20011403,0.2285734,0.022519745,0.3747372,0.16631168
lnc_37,0.121685915,0.22304548,0.23152876,0.025430191,0.342353,0.20623183
lnc_38,0.21898553,0.115244895,0.24476439,0.0058500012,0.31284785,0.22320825
lnc_39,0.12665823,0.16257966,0.28632647,0.0,0.25851533,0.23474291
lnc_40,0.20577115,0.20801106,0.2533945,0.035825796,0.37948,0.09453585
lnc_41,0.22810875,0.133747,0.2467461,0.034454808,0.32719028,0.17274727
lnc_44,0.30885896,0.10192516,0.12640248,0.099892564,0.40601075,0.1721172
lnc_45,0.258512,0.21951139,0.22305137,0.03695086,0.31194314,0.06501876
lnc_46,0.26177928,0.10434584,0.2500834,0.0035041077,0.2715206,0.19116437
lnc_47,0.25568458,0.15963891,0.19951575,0.049854256,0.3776281,0.1471651
lnc_5,0.23804884,0.17439862,0.22128561,0.04789179,0.33477724,0.13604008
lnc_6,0.2697372,0.19252211,0.18955687,0.0009809574,0.29909047,0.15697916
lnc_7,0.15111941,0.26734,0.23873872,0.029172994,0.33077753,0.119505785
lnc_8,0.16694432,0.23177706,0.26494098,0.012010527,0.3302037,0.12588769
lnc_9,0.1939504,0.29134247,0.21996051,0.0,0.3421592,0.088293515
