,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK
lnc_10,0.25001076,0.20059289,0.18508905,0.018408325,0.24211136,0.10378764
lnc_11,0.23776382,0.16261376,0.13923405,0.029479558,0.3020594,0.12884939
lnc_13,0.2696736,0.059026062,0.08087944,0.08154891,0.37691465,0.13195735
lnc_14,0.28146836,0.12051669,0.10401058,0.041213885,0.30812445,0.14466615
lnc_15,0.22137216,0.20345931,0.13533694,0.007154215,0.27825293,0.15442449
lnc_16,0.29347238,0.124040216,0.10256,0.060833633,0.26429513,0.15479861
lnc_17,0.2679448,0.16022444,0.15705518,0.023025973,0.1684365,0.22331317
lnc_18,0.26068783,0.16980517,0.15459451,0.019730318,0.2278721,0.1673101
lnc_19,0.21311393,0.14951292,0.16799346,0.024769774,0.28570998,0.15890001
lnc_20,0.15639544,0.21296228,0.19011489,0.032871135,0.30311936,0.10453684
lnc_21,0.23413664,0.1337224,0.12909916,0.03089014,0.32384574,0.14830595
lnc_23,0.098647445,0.19425063,0.1706151,0.042248555,0.35316914,0.1410691
lnc_24,0.11561117,0.22793661,0.17957038,0.032405283,0.31640014,0.12807648
lnc_25,0.30778238,0.169247,0.20658807,0.045040846,0.15634651,0.11499517
lnc_26,0.29061735,0.117350765,0.19467568,0.051825542,0.18042952,0.16510114
lnc_27,0.2947479,0.15706998,0.19564357,0.03773788,0.19182386,0.122976854
lnc_28,0.22092828,0.24139522,0.16949883,0.029933471,0.16393329,0.17431086
lnc_29,0.20060652,0.12601352,0.11592157,0.037195057,0.3240773,0.196186
lnc_30,0.27121505,0.10584495,0.11393162,0.034582254,0.33438486,0.14004128
lnc_31,0.23395507,0.22199968,0.1614313,0.030138163,0.2289249,0.12355094
lnc_33,0.19678158,0.18766621,0.17123687,0.028373668,0.29172358,0.12421805
lnc_34,0.14272113,0.106330775,0.11851471,0.033233404,0.36353603,0.23566392
lnc_35,0.18073179,0.099035315,0.118144915,0.033307843,0.3659951,0.20278506
lnc_36,0.19993392,0.10962087,0.13863198,0.018423991,0.3615355,0.17185377
lnc_37,0.15636481,0.13280717,0.15222469,0.01708762,0.3292102,0.21230555
lnc_38,0.21814877,0.085774265,0.15262347,0.024638483,0.28720787,0.2316071
lnc_39,0.17813344,0.10638142,0.20655316,0.012446595,0.22652939,0.26995596
lnc_40,0.21589199,0.12034022,0.13810565,0.031885352,0.37897217,0.11480465
lnc_41,0.23029526,0.080581814,0.14690991,0.043298423,0.30284864,0.19606596
lnc_44,0.25040847,0.049046475,0.06889826,0.076587796,0.40160123,0.1534577
lnc_45,0.25281197,0.15935431,0.14885819,0.04751353,0.30330998,0.08815203
lnc_46,0.25335148,0.06992793,0.18672131,0.03457844,0.2363654,0.21905546
lnc_47,0.23313363,0.08974601,0.113382004,0.045821995,0.36946017,0.1484562
lnc_5,0.22530675,0.12232044,0.1318925,0.046091497,0.32056004,0.1538288
lnc_6,0.25982916,0.11176558,0.14181118,0.027245775,0.26456037,0.19478796
lnc_7,0.18539438,0.16644827,0.14881821,0.029794225,0.32481778,0.1447272
lnc_8,0.21292329,0.12274531,0.17116782,0.02138456,0.3091991,0.16257991
lnc_9,0.23022828,0.16736276,0.14144902,0.0044817575,0.32982546,0.12665264
