,baseMean,log2FoldChange,lfcSE,stat,pvalue,FDR
NM_000014,20.70839901,-0.077453945,0.220032364,-0.3520116,0.724829563,0.878650419
NM_000016,1385.55776,0.167580546,0.100639001,1.665165041,0.095879834,0.312381063
NM_000017,506.2419303,-0.040604803,0.062638819,-0.648237045,0.516831645,0.750255273
NM_000018,1978.319668,-0.114031657,0.117024736,-0.974423538,0.329846287,0.603120363
NM_000019,1396.335042,0.17712593,0.067431709,2.626745391,0.008620581,0.076573172
NM_000020,14.34545701,-0.543326106,0.388606758,-1.398138594,0.162071452,0.413718779
NM_000021,1710.347623,0.133146155,0.088900857,1.497692587,0.134213139,0.373956682
NM_000022,1657.687965,0.083110519,0.092512062,0.898374956,0.368985684,0.638356225
NM_000023,9.062722709,-0.299995533,0.367784329,-0.815683293,0.414681297,0.67570455
NM_000024,905.3500695,0.280629337,0.114586273,2.449065926,0.014322723,0.103750506
NM_000026,1963.439826,0.03731384,0.064020218,0.582844619,0.559997905,0.779373417
NM_000027,1165.940593,0.192601759,0.071557302,2.691573785,0.007111577,0.068262794
NM_000028,86.17152595,-0.526632336,0.278026208,-1.894182346,0.058200811,0.234382098
NM_000031,1557.556857,0.032494552,0.050050717,0.649232495,0.516188111,0.749740565
NM_000032,1930.567289,3.104316695,0.584641799,5.309775487,1.10E-07,0.000421833
NM_000033,1048.275101,0.017542,0.072275853,0.242708994,0.808230839,0.921368993
NM_000034,1653.001328,0.057492578,0.090861672,0.632748407,0.526897953,0.757224252
NM_000037,19.36876151,-0.350039582,0.304075419,-1.151160401,0.249666253,0.52233849
NM_000038,1001.523541,-0.024662746,0.071104818,-0.346850563,0.728703588,0.88059003
NM_000039,0.876930026,0.277931278,0.328292137,0.846597427,0.397219549,0.661535316
NM_000043,1118.978733,0.369178067,0.130949777,2.81923402,0.004813841,0.054956338
NM_000044,11.63515265,-0.144996963,0.392088131,-0.36980707,0.711526247,0.870894521
NM_000045,5.655127655,0.478615938,0.40254094,1.188986983,0.234444789,0.504581245
NM_000046,1397.440623,0.088425907,0.095154344,0.929289228,0.352739216,0.623385283
NM_000048,364.6667756,-0.166233606,0.098572239,-1.68641401,0.091716085,0.305006024
NM_000050,11.6494158,-0.106352328,0.231015109,-0.460369576,0.645250969,0.834558044
NM_000051,16820.93857,-0.150892454,0.081223225,-1.857750088,0.063204512,0.245748748
NM_000052,552.8447244,0.081818586,0.105109209,0.778415012,0.436324392,0.69238998
NM_000053,15.86363938,0.498961725,0.251015063,1.987776031,0.046836466,0.206715135
NM_000054,3.628269686,-0.655560631,0.353451626,-1.854739328,0.06363346,0.246916955
NM_000056,526.653316,0.262656477,0.108656523,2.417309793,0.015635703,0.109124969
NM_000057,300.4948275,0.394800629,0.14754772,2.675748751,0.007456252,0.070120798
NM_000059,277.7448645,0.004936957,0.108487659,0.045507082,0.96370313,0.9861357
NM_000060,353.0392919,0.210881242,0.151945858,1.387870949,0.165176346,0.417515684
NM_000061,4328.305571,-0.022057704,0.093910827,-0.234879245,0.814302459,0.924320943
NM_000062,69.87031177,0.239208384,0.249639055,0.958216991,0.337953351,0.610210345
NM_000063,460.2979753,0.322489854,0.278691541,1.157156951,0.247208242,0.519787016
NM_000064,240.3823228,0.288888454,0.181316328,1.59328428,0.111096432,0.337137679
NM_000067,668.3842078,-0.007328785,0.145166591,-0.05048534,0.959735632,0.985082518
NM_000068,4.788400219,-0.077741529,0.25622747,-0.303408254,0.761578756,0.897157274
NM_000070,14.97024393,-0.928833214,0.413021643,-2.248872981,0.024520578,0.142100657
NM_000072,2274.422093,0.454646688,0.356345743,1.27585834,0.2020056,0.467431877
NM_000073,3165.544634,0.381026478,0.109594787,3.476684325,0.000507655,0.017008083
NM_000074,798.9637041,-0.164291883,0.159813419,-1.028023084,0.303938969,0.58050497
NM_000075,1352.752728,0.117460286,0.072109701,1.628911021,0.103331857,0.32453878
NM_000076,718.0966253,0.164560291,0.21109758,0.779546079,0.435658105,0.692133185
NM_000078,18.46772053,-0.036578309,0.29108936,-0.12566007,0.90000101,0.961618478
NM_000080,116.4963996,0.110786584,0.183652211,0.603241222,0.546348228,0.770828801
NM_000081,9977.350443,0.0462255,0.086824433,0.532401971,0.59444762,0.80212525
NM_000082,316.8141189,0.120253682,0.125177123,0.960668203,0.336719024,0.609259203
NM_000083,6.754336,-0.364131697,0.227714692,-1.599069841,0.109805085,0.335125076
NM_000084,111.7677744,-0.316222452,0.199804909,-1.58265607,0.113499876,0.340667062
NM_000086,866.2595128,0.089690946,0.092142325,0.973395726,0.330356662,0.603544338
NM_000088,4.899566269,-0.719418006,0.404999264,-1.776343986,0.075676238,0.272521122
NM_000091,59.12035391,-0.799844182,0.238439862,-3.354490206,0.000795114,0.021086582
NM_000092,191.8697049,-0.062741628,0.200465968,-0.312978947,0.754296657,0.893230411
NM_000093,10.76586671,-0.250329821,0.270423377,-0.925695936,0.35460402,0.625211462
NM_000094,21.2126662,-0.643585193,0.243830411,-2.639478764,0.008303363,0.074988252
NM_000097,758.0823566,-0.071002638,0.080509915,-0.881911726,0.377824546,0.645649499
