,alpha,beta,delta,epsilon,gamma
Sub1,0.51815367,0.42601714,0.055672612,4.0895182e-05,0.00011568895
Sub2,0.52301186,0.4151579,0.0615759,9.052263e-05,0.00016384578
Sub3,0.5530114,0.39503047,0.051842805,4.8299462e-05,6.700803e-05
Sub4,0.468618,0.46079975,0.07018152,4.4567183e-05,0.00035617512
Sub5,0.4443977,0.47001478,0.08531116,4.9103324e-05,0.00022726615
Sub6,0.38078284,0.5701527,0.048929513,5.712531e-05,7.786813e-05
Sub7,0.44830745,0.50635743,0.045239255,3.8410042e-05,5.746635e-05
Sub8,0.46840248,0.4983549,0.033191197,2.1189557e-05,3.0195084e-05
Sub9,0.46586174,0.4602581,0.0737734,2.626165e-05,8.0499325e-05
Sub10,0.41301644,0.5065094,0.08026888,5.755982e-05,0.0001476849
Sub11,0.6333415,0.3192506,0.047303554,4.2691987e-05,6.166693e-05
Sub12,0.57338154,0.37386197,0.052629746,3.2810945e-05,9.396719e-05
Sub13,0.5017017,0.45356417,0.044650495,2.2374223e-05,6.1254774e-05
Sub14,0.5332775,0.4014451,0.064927064,7.558913e-05,0.00027479915
Sub15,0.4332158,0.47208112,0.09426907,0.00013139093,0.000302665
Sub16,0.45970005,0.5017067,0.03854347,2.1455035e-05,2.8328537e-05
Sub17,0.4384123,0.50611347,0.055349223,4.3087493e-05,8.193054e-05
Sub18,0.52880126,0.43960696,0.031548627,1.8067876e-05,2.5121219e-05
Sub19,0.47937626,0.46978936,0.050738044,3.253249e-05,6.390228e-05
Sub20,0.47145313,0.45791346,0.070390075,8.0845166e-05,0.00016253236
Sub21,0.39624628,0.5329151,0.07070976,6.107647e-05,6.771775e-05
Sub22,0.49886417,0.44314265,0.05786293,4.4308614e-05,8.592308e-05
Sub23,0.5289991,0.40585613,0.064971596,5.752015e-05,0.00011563059
Sub24,0.46747953,0.48488578,0.047584124,1.9160067e-05,3.1394426e-05
Sub25,0.5577233,0.39207935,0.050093032,2.7293223e-05,7.703059e-05
Sub26,0.4102723,0.49796396,0.091367066,9.438985e-05,0.00030233196
Sub27,0.5328867,0.41806492,0.048977584,3.2396092e-05,3.842349e-05
Sub28,0.41265422,0.49921507,0.08783525,9.080338e-05,0.00020474869
Sub29,0.4474139,0.48204026,0.07037765,5.2790725e-05,0.000115440474
Sub30,0.48266584,0.44514102,0.071666844,0.00015529286,0.0003709936
Sub31,0.44310486,0.47386584,0.082760245,8.2130304e-05,0.00018695061
Sub32,0.59315044,0.35427785,0.052464075,4.0153034e-05,6.752353e-05
Sub33,0.42989767,0.53984475,0.030112183,4.7334146e-05,9.806387e-05
Sub34,0.5038717,0.43471023,0.061295953,5.7282883e-05,6.482909e-05
Sub35,0.52930045,0.4411599,0.029489342,1.9821779e-05,3.0506235e-05
Sub36,0.5050346,0.4190135,0.07576611,6.093982e-05,0.00012480837
Sub37,0.50811917,0.41404665,0.07739867,0.0001259399,0.00030966324
Sub38,0.43480766,0.5153467,0.049669877,4.7295307e-05,0.00012850715
Sub39,0.41725266,0.5271377,0.05550633,3.4483608e-05,6.8806585e-05
Sub40,0.58287823,0.34852678,0.06822975,0.000103176746,0.00026212077
Sub41,0.53600043,0.4067677,0.05709381,5.381215e-05,8.426608e-05
Sub42,0.58517593,0.35779142,0.05691641,4.788363e-05,6.834253e-05
Sub43,0.5035368,0.41294894,0.08322918,8.3916166e-05,0.0002012196
Sub44,0.5244293,0.41166258,0.063762695,4.6282992e-05,9.912618e-05
Sub45,0.48695987,0.44184655,0.07092428,6.748858e-05,0.0002018109
Sub46,0.48950833,0.4518966,0.05841386,7.649405e-05,0.00010474135
Sub47,0.50694764,0.43800843,0.054942153,3.067786e-05,7.114598e-05
Sub48,0.50344086,0.44210505,0.054338202,4.148904e-05,7.43979e-05
Sub49,0.47555268,0.43619975,0.08777028,0.00013496898,0.00034232368
Sub50,0.4468424,0.47843188,0.0744355,0.00010652648,0.00018372426
Sub51,0.49455532,0.46116623,0.044203788,2.6131136e-05,4.853768e-05
Sub52,0.500317,0.43382955,0.06569065,4.363361e-05,0.00011920871
Sub53,0.6135633,0.33676052,0.049550675,2.740082e-05,9.812314e-05
Sub54,0.53180623,0.42793435,0.04016664,3.9349587e-05,5.343183e-05
Sub55,0.5274612,0.41264552,0.05981111,3.0507188e-05,5.1710835e-05
Sub56,0.59885156,0.3386221,0.062294677,4.409992e-05,0.00018759651
Sub57,0.481498,0.4499058,0.068344295,7.92157e-05,0.00017266981
Sub58,0.4808918,0.46583265,0.053179678,2.5524358e-05,7.037197e-05
Sub59,0.4988796,0.44488925,0.056132928,3.1601638e-05,6.6636974e-05
Sub60,0.57083595,0.3689685,0.06012691,2.3135208e-05,4.5539833e-05
Sub61,0.5640366,0.38223574,0.053579863,5.01452e-05,9.764399e-05
Sub62,0.48498902,0.43680012,0.077599354,0.00017941231,0.00043205876
Sub63,0.39485845,0.5116562,0.09304722,0.00012589662,0.00031224487
Sub64,0.43557262,0.50997984,0.05410136,6.653338e-05,0.0002796229
Sub65,0.6234833,0.33122978,0.045202628,1.7987617e-05,6.630641e-05
Sub66,0.45396957,0.5033331,0.042666808,1.282093e-05,1.7650333e-05
Sub67,0.479954,0.46052548,0.059327647,5.0514333e-05,0.0001423485
Sub68,0.47186622,0.47759256,0.050413392,2.9129355e-05,9.869527e-05
Sub69,0.43498558,0.486626,0.07823205,4.3020853e-05,0.00011339861
Sub70,0.5349965,0.4087159,0.056145877,3.568606e-05,0.00010602979
Sub71,0.49477467,0.39887214,0.105865955,8.8355126e-05,0.00039895962
Sub72,0.35784492,0.5788474,0.06295219,8.080749e-05,0.0002747521
Sub73,0.58934593,0.34014583,0.069952816,9.983283e-05,0.00045562792
Sub74,0.62301075,0.31393027,0.06270997,5.915427e-05,0.0002899678
Sub75,0.511446,0.4344918,0.053937625,2.4651454e-05,9.995856e-05
Sub76,0.46281523,0.47966632,0.057410892,3.4501623e-05,7.306026e-05
Sub77,0.5487102,0.40198123,0.04923436,2.9004004e-05,4.517221e-05
Sub78,0.5179795,0.4327984,0.04910841,3.4648747e-05,7.911409e-05
Sub79,0.4941698,0.42299756,0.082546495,8.326235e-05,0.00020293077
Sub80,0.51992714,0.40371323,0.07618882,3.968783e-05,0.0001311498
Sub81,0.4165369,0.51006603,0.07315191,5.4085125e-05,0.00019109708
Sub82,0.6525156,0.32178587,0.025654903,1.4043667e-05,2.9606279e-05
Sub83,0.50041485,0.42512417,0.07414476,6.760002e-05,0.0002486538
Sub84,0.47672448,0.46617842,0.057010558,2.6440423e-05,6.0118105e-05
Sub85,0.49344003,0.42608327,0.08017918,7.762862e-05,0.00021996594
Sub86,0.46774492,0.4479657,0.08391749,0.00010006242,0.00027186947
Sub87,0.60667133,0.33879277,0.054422587,3.4541525e-05,7.879234e-05
Sub88,0.48826942,0.416224,0.09505603,7.624834e-05,0.00037429575
Sub89,0.46070075,0.4669127,0.07210168,9.45863e-05,0.0001903193
