,alpha,beta,delta,epsilon,gamma
Sub1,0.5722945,0.53291005,0.085281834,0.0,0.0
Sub2,0.567535,0.5215556,0.09213784,0.0,0.0
Sub3,0.5879575,0.5256972,0.07876702,0.0,0.0
Sub4,0.5341804,0.55069023,0.10505666,0.0,0.0
Sub5,0.53038776,0.5530995,0.13027075,0.0,0.0
Sub6,0.47606277,0.6343757,0.07063311,0.0,0.0
Sub7,0.52765304,0.6006412,0.05766737,0.0,0.0
Sub8,0.5571173,0.5869738,0.04142252,0.0,0.0
Sub9,0.5514765,0.5599133,0.11092386,0.0,0.0
Sub10,0.51812065,0.571243,0.12103747,0.0,0.0
Sub11,0.6286964,0.4892241,0.06738907,0.0,0.0
Sub12,0.5969995,0.5233041,0.0746616,0.0,0.0
Sub13,0.55820054,0.57274127,0.06578526,0.0,0.0
Sub14,0.57124585,0.5140381,0.095830545,0.0,0.0
Sub15,0.51091087,0.55283076,0.12318364,0.0,0.0
Sub16,0.55298877,0.59647137,0.049090195,0.0,0.0
Sub17,0.5250699,0.5857131,0.06971553,0.0,0.0
Sub18,0.5857433,0.5682945,0.03626026,0.0,0.0
Sub19,0.55265796,0.57176113,0.072145194,0.0,0.0
Sub20,0.5324189,0.55466276,0.10466188,0.0,0.0
Sub21,0.51358753,0.58991885,0.10806526,0.0,0.0
Sub22,0.57266897,0.546881,0.08307333,0.0,0.0
Sub23,0.57161903,0.5257527,0.09497967,0.0,0.0
Sub24,0.5567107,0.5894916,0.074431196,0.0,0.0
Sub25,0.59454846,0.52348125,0.08087379,0.0,0.0
Sub26,0.4961283,0.5727195,0.12705266,0.0,0.0
Sub27,0.5826276,0.5415795,0.08470504,0.0,0.0
Sub28,0.5132569,0.5719802,0.112914324,0.0,0.0
Sub29,0.52733475,0.57911706,0.1016334,0.0,0.0
Sub30,0.53133386,0.5283274,0.10024415,0.0,0.0
Sub31,0.51613855,0.5592663,0.12646525,0.0,0.0
Sub32,0.6073443,0.5084416,0.07462542,0.0,0.0
Sub33,0.51587087,0.61143726,0.0050765276,0.0,0.0
Sub34,0.5647672,0.549498,0.08882815,0.0,0.0
Sub35,0.58906084,0.56950337,0.020660993,0.0,0.0
Sub36,0.5628006,0.53196067,0.11309315,0.0,0.0
Sub37,0.554412,0.5093406,0.10421911,0.0,0.0
Sub38,0.5108806,0.5961019,0.071409196,0.0,0.0
Sub39,0.5089595,0.60349077,0.09587398,0.0,0.0
Sub40,0.59683585,0.4822999,0.09921275,0.0,0.0
Sub41,0.5732853,0.53394127,0.08240369,0.0,0.0
Sub42,0.5985982,0.513885,0.08437589,0.0,0.0
Sub43,0.5556445,0.52784365,0.11284852,0.0,0.0
Sub44,0.5751387,0.5381698,0.08624089,0.0,0.0
Sub45,0.5512911,0.5391452,0.09026387,0.0,0.0
Sub46,0.5412236,0.56588244,0.08237253,0.0,0.0
Sub47,0.56264853,0.5566205,0.08236708,0.0,0.0
Sub48,0.56401485,0.5529804,0.07610296,0.0,0.0
Sub49,0.52202004,0.5312182,0.12546743,0.0,0.0
Sub50,0.5186154,0.56239593,0.10828911,0.0,0.0
Sub51,0.56311655,0.57363784,0.057215583,0.0,0.0
Sub52,0.55421364,0.5472077,0.09497896,0.0,0.0
Sub53,0.62520015,0.4925118,0.0770655,0.0,0.0
Sub54,0.5747986,0.5553776,0.044886965,0.0,0.0
Sub55,0.5773777,0.54679585,0.09070061,0.0,0.0
Sub56,0.6135619,0.4901892,0.08631727,0.0,0.0
Sub57,0.546874,0.5423286,0.10027382,0.0,0.0
Sub58,0.55165493,0.5648795,0.08110881,0.0,0.0
Sub59,0.57040256,0.54793584,0.08378443,0.0,0.0
Sub60,0.6120764,0.51825297,0.089175045,0.0,0.0
Sub61,0.587662,0.52680975,0.0740539,0.0,0.0
Sub62,0.52864033,0.5226474,0.10719477,0.0,0.0
Sub63,0.48619008,0.58076465,0.12066509,0.0,0.0
Sub64,0.5051985,0.59111345,0.0514074,0.0,0.0
Sub65,0.62241,0.5114372,0.060736697,0.0,0.0
Sub66,0.54532564,0.61071336,0.061654996,0.0,0.0
Sub67,0.54106176,0.5677223,0.08367433,0.0,0.0
Sub68,0.54800737,0.57495254,0.06532082,0.0,0.0
Sub69,0.52055705,0.5757832,0.11180566,0.0,0.0
Sub70,0.5825431,0.53213954,0.08268367,0.0,0.0
Sub71,0.54513884,0.50535554,0.15164569,0.0,0.0
Sub72,0.46668252,0.61903596,0.08917332,0.0,0.0
Sub73,0.58800393,0.4737279,0.09987061,0.0,0.0
Sub74,0.6150368,0.46584007,0.08838223,0.0,0.0
Sub75,0.5698005,0.5466468,0.08182998,0.0,0.0
Sub76,0.5422409,0.57669914,0.07928996,0.0,0.0
Sub77,0.5916583,0.5412723,0.07163048,0.0,0.0
Sub78,0.57251424,0.55420786,0.059788253,0.0,0.0
Sub79,0.55393547,0.53210926,0.1198452,0.0,0.0
Sub80,0.5733532,0.5344723,0.1055489,0.0,0.0
Sub81,0.51907307,0.5750584,0.09941906,0.0,0.0
Sub82,0.65228486,0.5081855,0.023429703,0.0,0.0
Sub83,0.548446,0.5359464,0.105682746,0.0,0.0
Sub84,0.562886,0.5717606,0.07594597,0.0,0.0
Sub85,0.5533982,0.52370936,0.120549604,0.0,0.0
Sub86,0.5294737,0.5423297,0.119822115,0.0,0.0
Sub87,0.61039746,0.50041956,0.09230606,0.0,0.0
Sub88,0.53698355,0.5241554,0.13715097,0.0,0.0
Sub89,0.52246857,0.5563237,0.09971793,0.0,0.0
