"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAB11FIP5",1221.07153811825,0.681616627102129,0.123731366723356,5.50884262537983,3.61200639986114e-08,0.000362796888253271
"ABHD18",355.242535309853,-0.556066787229042,0.10221529848355,-5.44015226173345,5.32350533020207e-08,0.000362796888253271
"PLXDC1",308.735345636347,-0.971349656768822,0.185824118503039,-5.22725287004623,1.72047127804293e-07,0.00050369789655741
"RAP2A",2533.10068125186,0.500181586917094,0.0958854447878123,5.21644956670912,1.82385204225882e-07,0.00050369789655741
"PLAAT3",612.925082399814,0.461222996687651,0.0887130340295489,5.19904433134397,2.00315751142081e-07,0.00050369789655741
"ALAS2",1942.76435660228,3.10943545191029,0.600261974645026,5.18013064837084,2.2173054874134e-07,0.00050369789655741
"SYT11",2870.09054502463,0.414300280698938,0.081669802925374,5.07286984734744,3.9186052812716e-07,0.000687965458810687
"WDR13",241.067717791811,-0.961016078647426,0.189655759191758,-5.06716001002509,4.03794840094314e-07,0.000687965458810687
"ARMH1",339.045443839688,-0.643990301871085,0.129238162413977,-4.9829732165972,6.26146203636019e-07,0.000948263639506548
"RASA4",170.63907458408,-1.36694327403746,0.278454425222575,-4.90903771037156,9.15243793272132e-07,0.00112148978238686
"YWHAQ",12877.9281965069,0.333753453599259,0.0680366335702509,4.90549629053359,9.31914019887528e-07,0.00112148978238686
"GLB1L2",243.556543604934,0.695013932084731,0.142065304249872,4.89221443444281,9.97077240933679e-07,0.00112148978238686
"ABHD17C",237.007519826342,0.488849503519474,0.100207517279455,4.87837157122843,1.06965276383193e-06,0.00112148978238686
"CALCOCO1",57.4909235545043,-1.84503643076935,0.381400976435139,-4.83752414064181,1.31466422066217e-06,0.00121697557107303
"ACP7",74.9235914246089,-0.733845359527425,0.15219290091894,-4.82181070928061,1.42260913104573e-06,0.00121697557107303
"STARD7",7418.29998851428,0.202624982055203,0.0420298786310188,4.82097471263365,1.42858467624127e-06,0.00121697557107303
"CARMIL2",1068.60460137572,-0.641058440179391,0.133412497344904,-4.80508537758719,1.54685482291486e-06,0.00124021360213703
"GALNT10",4145.77103613046,0.239950395897834,0.0501419642331526,4.78542074622568,1.70629507431144e-06,0.00129204454793694
"DCST2",10.6164252443457,-1.53372710023238,0.323577396669092,-4.73990802825096,2.13815250203297e-06,0.0013713438227494
"PJVK",14.4126793052058,-1.20350916623181,0.255131838200419,-4.71720493498891,2.39106810561004e-06,0.0013713438227494
"CLDN15",449.60572289859,-0.558999010602973,0.118854736513022,-4.70321189548664,2.56100385404271e-06,0.0013713438227494
"NDUFB8",95.939533759321,-1.20509011685547,0.256255999181206,-4.70268060340441,2.56767922243643e-06,0.0013713438227494
"SAP25",613.339177340819,-0.890426857765165,0.189352624476794,-4.70247962089529,2.57020879917377e-06,0.0013713438227494
"CRX",210.935597433539,-0.625944651870938,0.133112395850214,-4.70237687386596,2.5715029026591e-06,0.0013713438227494
"ZNF491",63.4959453791381,-0.741736720762609,0.157929318746323,-4.6966372466536,2.64479546284616e-06,0.0013713438227494
"TOP3A",475.595703116032,-0.49754177861209,0.106098495541117,-4.68943292809722,2.73963213318736e-06,0.0013713438227494
"ANKMY1",33.3692210844365,-1.06135893742653,0.226441461573749,-4.68712280008339,2.77072729210445e-06,0.0013713438227494
"SCAI",557.501568468866,-0.391292298671519,0.0835430502434872,-4.68372051931422,2.81714064834801e-06,0.0013713438227494
"GSTM2",376.806863413522,-0.695714569029238,0.149317673858134,-4.65929150282793,3.17299600042841e-06,0.00146038027924742
"CTSH",105.06352379148,-1.16310143640094,0.24977342998438,-4.65662595286326,3.21433663810877e-06,0.00146038027924742
"ITGB1",22171.1623537478,0.39444897982062,0.0848643747647715,4.64799252824239,3.3518105182642e-06,0.00147371539883681
"BCL6",724.170139344412,-1.0742024905073,0.23238862865221,-4.62243999087812,3.79252541365705e-06,0.00161537879337955
"CALCOCO2",66.750822244906,-1.2542209699177,0.275079269406494,-4.55948924331443,5.12781832208262e-06,0.00203061197776501
"WDR6",493.690828290455,-0.690904842861287,0.151575294669866,-4.55816262383717,5.16030752024205e-06,0.00203061197776501
"CPN2",6.37988135377128,-1.62157199288806,0.355922131134869,-4.55597404892364,5.21433743373259e-06,0.00203061197776501
"FBXO27",119.36690055682,-0.623364534311455,0.137713469256513,-4.52653279070577,5.99592992976138e-06,0.00227012569285132
"NPIPB11",322.089167749064,-0.897324430311933,0.199215708510079,-4.50428551554976,6.65966205242297e-06,0.0024532755074196
"SSR1",255.41506570388,-0.651161701432978,0.14512875247096,-4.4867863214305,7.23055261086373e-06,0.00259348505489665
"STK11IP",1310.55715506052,-0.371391819435732,0.0834371327342735,-4.45115750344062,8.54086679345999e-06,0.00298492344602204
"ASB6",347.112210890077,-0.535270973103708,0.121429884176855,-4.40806624112497,1.04297649540506e-05,0.00338209302791567
"FECH",1039.46233703903,0.50798576308769,0.115283781687312,4.4063939927432,1.05105709974687e-05,0.00338209302791567
"HLA.B",269622.476166494,0.20383327233035,0.0463782529529415,4.39501834053933,1.10763401564164e-05,0.00338209302791567
"ZNF337",261.946710509584,-1.02851062319376,0.234019166139859,-4.39498456540557,1.10780624723972e-05,0.00338209302791567
"HMGN4",7149.61263703416,0.255881295618061,0.0582498679965869,4.39282189674755,1.11888786664977e-05,0.00338209302791567
"MIGA2",1061.55600944571,-0.48255444834411,0.110114437189217,-4.38229954819551,1.17433196015897e-05,0.00338209302791567
"ARHGAP10",548.216370227187,0.345649622888922,0.0790500136339722,4.37254349492454,1.22807340507988e-05,0.00338209302791567
"TAF8",1194.62898787181,-0.230457682854205,0.0527072374526421,-4.37241058329556,1.22882150822314e-05,0.00338209302791567
"NWD1",43.3887442830623,-0.703763463781717,0.16103982218203,-4.37012072073841,1.24177866348349e-05,0.00338209302791567
"GPR137B",1107.65938589196,0.305846118317393,0.0699997669043413,4.36924481099129,1.24676937621659e-05,0.00338209302791567
