,CellType,Method,Dataset,CCC,L1error
0,Monocytes,TAPE,sdy67,0.20758398767691852,0.12545293838899846
1,Unknown,TAPE,sdy67,0.40514826488937944,0.023516487322982293
2,CD4Tcells,TAPE,sdy67,0.6267128561105988,0.06176906772997428
3,Bcells,TAPE,sdy67,0.0411621523517373,0.041575766842044316
4,NK,TAPE,sdy67,0.23280404302587543,0.04371163079674143
5,CD8Tcells,TAPE,sdy67,0.31782430943704887,0.07629799365775776
6,Monocytes,TAPE,monaco,0.3204531536752421,0.08798682574828108
7,Unknown,TAPE,monaco,0.005022239897282396,0.04905610415474319
8,CD4Tcells,TAPE,monaco,0.48433104597901444,0.03580340328898978
9,Bcells,TAPE,monaco,0.7743721001568544,0.01620330626542767
10,NK,TAPE,monaco,0.29032899184010735,0.03538517663894864
11,CD8Tcells,TAPE,monaco,0.45154008483596186,0.03743582707566056
12,Monocytes,TAPE,microarray,0.2912097831427858,0.15147381103023394
13,Unknown,TAPE,microarray,-0.10144652467688198,0.06004425223096288
14,CD4Tcells,TAPE,microarray,0.46546239045328347,0.10835349865349467
15,Bcells,TAPE,microarray,0.40470697879006595,0.03666111923508249
16,NK,TAPE,microarray,0.3940239917820722,0.04463803464917702
17,CD8Tcells,TAPE,microarray,0.37792251929055637,0.0657533323888778
18,Monocytes,Scaden,sdy67,0.12123688986337232,0.20511744915500826
19,Unknown,Scaden,sdy67,0.3575456508259157,0.01825201348013276
20,CD4Tcells,Scaden,sdy67,0.33965246981201314,0.1270810185568543
21,Bcells,Scaden,sdy67,0.113046646552901,0.025971849130002934
22,NK,Scaden,sdy67,0.4129717776670163,0.04140941693213759
23,CD8Tcells,Scaden,sdy67,0.38853302511067067,0.08795012781172899
24,Monocytes,Scaden,monaco,0.19597962628928947,0.16729245421727576
25,Unknown,Scaden,monaco,-0.009246648786545861,0.10724714573452467
26,CD4Tcells,Scaden,monaco,0.2420226252330783,0.07181361214333948
27,Bcells,Scaden,monaco,0.904979500855778,0.011847113767931053
28,NK,Scaden,monaco,0.4109487431590544,0.038239770309315906
29,CD8Tcells,Scaden,monaco,0.455439248524654,0.04472666472127579
30,Monocytes,Scaden,microarray,0.3825301041717198,0.17245863679948242
31,Unknown,Scaden,microarray,-0.03458171600298839,0.05066351363402537
32,CD4Tcells,Scaden,microarray,0.6776946267568845,0.11922481438271801
33,Bcells,Scaden,microarray,0.3892686888798095,0.041720436544158655
34,NK,Scaden,microarray,0.49315223701060257,0.05609880693301635
35,CD8Tcells,Scaden,microarray,0.6265700208175701,0.07236919159148454
36,Bcells,CIBERSORTx,sdy67,0.26721965261145414,0.03632108830716241
37,CD4Tcells,CIBERSORTx,sdy67,0.6941133734059387,0.07798886215006785
38,CD8Tcells,CIBERSORTx,sdy67,0.20407345127419751,0.2117934964143656
39,Monocytes,CIBERSORTx,sdy67,0.15235690364909818,0.22733888427459029
40,NK,CIBERSORTx,sdy67,0.12484406065631427,0.08026587962865891
41,Bcells,CIBERSORTx,monaco,0.12092630290120158,0.06847459822418651
42,CD4Tcells,CIBERSORTx,monaco,0.5504369741678727,0.05194308292016562
43,CD8Tcells,CIBERSORTx,monaco,0.40711423133394653,0.07509409533382515
44,Monocytes,CIBERSORTx,monaco,0.6751707167210047,0.0650607265385804
45,NK,CIBERSORTx,monaco,0.24495754407014347,0.06084308719200857
46,Bcells,CIBERSORTx,microarray,0.44933235904862695,0.04049140944026637
47,CD4Tcells,CIBERSORTx,microarray,0.708030093388508,0.08459635900414314
48,CD8Tcells,CIBERSORTx,microarray,0.13968639837474855,0.1547250173927443
49,Monocytes,CIBERSORTx,microarray,0.2542870302870023,0.2168131523494985
50,NK,CIBERSORTx,microarray,0.5881373719236881,0.04615163264551209
51,Bcells,RNAsieve,sdy67,0.3619555622043822,0.023936231570267263
52,CD4Tcells,RNAsieve,sdy67,0.03117084191285468,0.32168664795096974
53,CD8Tcells,RNAsieve,sdy67,0.0005393210690332068,0.3005931421469367
54,Monocytes,RNAsieve,sdy67,0.09045051132135266,0.27839566219631595
55,NK,RNAsieve,sdy67,-0.014523866200952609,0.3678203594718577
56,Bcells,RNAsieve,monaco,0.10852539043352956,0.05228274684413792
57,CD4Tcells,RNAsieve,monaco,,0.2815206428174017
58,CD8Tcells,RNAsieve,monaco,0.04716081875739108,0.1618242188253836
59,Monocytes,RNAsieve,monaco,0.3363465576844246,0.09034148767459878
60,NK,RNAsieve,monaco,0.004297499475738,0.38894135393886026
61,Bcells,RNAsieve,microarray,0.03473168990620866,0.06749137621401131
62,CD4Tcells,RNAsieve,microarray,,0.40615645180515203
63,CD8Tcells,RNAsieve,microarray,0.05575382873819019,0.13884017855890327
64,Monocytes,RNAsieve,microarray,0.21175685950886491,0.056688090394951506
65,NK,RNAsieve,microarray,0.0004072864148828575,0.5099782131476112
66,Bcells,MuSiC,sdy67,,0.04541028503978592
67,CD4Tcells,MuSiC,sdy67,,0.33160531343666727
68,CD8Tcells,MuSiC,sdy67,,0.33385051283236905
69,Monocytes,MuSiC,sdy67,0.46432705396387347,0.0866972180772863
70,NK,MuSiC,sdy67,-0.015080514216300574,0.6798622887826373
71,Bcells,MuSiC,monaco,,0.10690489669878124
72,CD4Tcells,MuSiC,monaco,,0.2815206428174017
73,CD8Tcells,MuSiC,monaco,,0.21303287818884123
74,Monocytes,MuSiC,monaco,0.5359871055573046,0.06806015874406139
75,NK,MuSiC,monaco,0.003784785272170729,0.6657892789171717
76,Bcells,MuSiC,microarray,,0.08963935247203315
77,CD4Tcells,MuSiC,microarray,,0.40615645180515203
78,CD8Tcells,MuSiC,microarray,,0.20430723572003
79,Monocytes,MuSiC,microarray,-0.026962392910342987,0.14587242545195242
80,NK,MuSiC,microarray,0.0016481893819640817,0.8437970114116657
81,Bcells,Bisque,sdy67,-0.01076885020145522,0.15695406466485687
82,CD4Tcells,Bisque,sdy67,-0.05704188910671699,0.3216518388301492
83,CD8Tcells,Bisque,sdy67,-0.06556183873369517,0.33850804340899104
84,Monocytes,Bisque,sdy67,0.25115876935766673,0.18461275778880193
85,NK,Bisque,sdy67,-0.20007931272284835,0.17343957250293374
86,Bcells,Bisque,monaco,0.16955702154655272,0.09442192714747305
87,CD4Tcells,Bisque,monaco,0.0597375922163288,0.30352608816049503
88,CD8Tcells,Bisque,monaco,-0.07205547186122142,0.21860677665347752
89,Monocytes,Bisque,monaco,0.34934134119159327,0.1461776103466722
90,NK,Bisque,monaco,-0.09379331903518004,0.22579751402134388
91,Bcells,Bisque,microarray,0.244086651633147,0.10943299896846792
92,CD4Tcells,Bisque,microarray,0.30894795525411195,0.29643293328393133
93,CD8Tcells,Bisque,microarray,0.2469627179736071,0.20101119881365545
94,Monocytes,Bisque,microarray,0.5434039864306235,0.11069392355857541
95,NK,Bisque,microarray,0.1521065385870467,0.11611591757230136
96,Bcells,DWLS,sdy67,0.594048981118509,0.016290920199902543
97,CD4Tcells,DWLS,sdy67,0.5279612487192495,0.11199626284438431
98,CD8Tcells,DWLS,sdy67,0.3448682481092949,0.1789269971770361
99,Monocytes,DWLS,sdy67,0.15464568197908013,0.256050719303045
100,NK,DWLS,sdy67,0.3103524543831974,0.05658572317988855
101,Bcells,DWLS,monaco,0.1642401252890698,0.0631488123111141
102,CD4Tcells,DWLS,monaco,0.21436288171271556,0.1442110666370692
103,CD8Tcells,DWLS,monaco,0.4456414613284246,0.07766046153173194
104,Monocytes,DWLS,monaco,0.18561141269987272,0.20004409202081744
105,NK,DWLS,monaco,0.3472011544433938,0.04952949885254638
106,Bcells,DWLS,microarray,0.20976275510206335,0.06951006751355185
107,CD4Tcells,DWLS,microarray,0.464979351502063,0.1995856403715737
108,CD8Tcells,DWLS,microarray,0.032067362522163204,0.19344926796108874
109,Monocytes,DWLS,microarray,0.4331655478784287,0.1508996706213559
110,NK,DWLS,microarray,0.6451618553716008,0.06434078918535066
