,CellType,Method,Dataset,CCC,L1error
0,Astrocytes,CIBERSORTx,ROSMAPh,0.04396988828437935,0.11093338042667927
1,Endothelial,CIBERSORTx,ROSMAPh,-0.0014668232804236176,0.11062548882083331
2,Microglia,CIBERSORTx,ROSMAPh,0.038508878202581594,0.053221099229056865
3,Neurons,CIBERSORTx,ROSMAPh,0.16515365878701002,0.12067696494998394
4,Oligodendrocytes,CIBERSORTx,ROSMAPh,0.09600954150254444,0.06456969296789707
5,Astrocytes,CIBERSORTx,ROSMAPm,0.14023378675653,0.07196366896017481
6,Endothelial,CIBERSORTx,ROSMAPm,0.03179539751276226,0.043939174256544665
7,Microglia,CIBERSORTx,ROSMAPm,0.3017153764353881,0.01709377211386307
8,Neurons,CIBERSORTx,ROSMAPm,0.19944902775073997,0.11827456180143657
9,Oligodendrocytes,CIBERSORTx,ROSMAPm,0.15083772129544104,0.038703029250132574
10,Astrocytes,Scaden,ROSMAPh,0.1214345818565734,0.06977795839881193
11,Endothelial,Scaden,ROSMAPh,-0.011132530953462592,0.061969462597113924
12,Microglia,Scaden,ROSMAPh,0.2181061634183932,0.022088704314709027
13,Neurons,Scaden,ROSMAPh,0.354842709932177,0.06146029502582312
14,Oligodendrocytes,Scaden,ROSMAPh,0.0632727731024251,0.052853754527264235
15,Astrocytes,Scaden,ROSMAPm,0.20204779101137849,0.057057675552330565
16,Endothelial,Scaden,ROSMAPm,0.00506779084929337,0.06196889515192427
17,Microglia,Scaden,ROSMAPm,0.2048470247613895,0.035076458033302366
18,Neurons,Scaden,ROSMAPm,0.2822340514453198,0.08691562002999612
19,Oligodendrocytes,Scaden,ROSMAPm,0.0365207858780865,0.04861215069915695
20,Astrocytes,DWLS,ROSMAPh,0.18854747332526672,0.07429834840638444
21,Endothelial,DWLS,ROSMAPh,-0.0002696824826358103,0.1409106896189059
22,Microglia,DWLS,ROSMAPh,0.004994778952560849,0.08509789039978836
23,Neurons,DWLS,ROSMAPh,0.01060182400971249,0.32573809426197925
24,Oligodendrocytes,DWLS,ROSMAPh,-0.033149553850885645,0.0788915785352429
25,Astrocytes,DWLS,ROSMAPm,0.19213613579657338,0.058515905704933105
26,Endothelial,DWLS,ROSMAPm,0.06257373367625275,0.03743531496852443
27,Microglia,DWLS,ROSMAPm,0.22228934909116296,0.026312361341584958
28,Neurons,DWLS,ROSMAPm,0.28767830364643887,0.07465098827179306
29,Oligodendrocytes,DWLS,ROSMAPm,0.17046529586399786,0.037696368111137094
30,Astrocytes,Bisque,ROSMAPh,-0.0443453162424838,0.07734763216537001
31,Endothelial,Bisque,ROSMAPh,0.06874833607276451,0.07434920186677121
32,Microglia,Bisque,ROSMAPh,0.09032836996376137,0.08224349155340817
33,Neurons,Bisque,ROSMAPh,0.14473507381546316,0.21417727740382878
34,Oligodendrocytes,Bisque,ROSMAPh,0.1097317054817926,0.14388202044612286
35,Astrocytes,Bisque,ROSMAPm,0.04484478461661632,0.19013232492686244
36,Endothelial,Bisque,ROSMAPm,0.0457368168790268,0.11005093046956642
37,Microglia,Bisque,ROSMAPm,-0.07473600691023737,0.0661581055113474
38,Neurons,Bisque,ROSMAPm,0.12356900878359768,0.2300283966187263
39,Oligodendrocytes,Bisque,ROSMAPm,0.10055501631430487,0.17601760371082978
40,Astrocytes,RNAsieve,ROSMAPh,0.1464067129633227,0.08825085243438668
41,Endothelial,RNAsieve,ROSMAPh,0.0036093480536426264,0.060768269324769766
42,Microglia,RNAsieve,ROSMAPh,0.05585842815788365,0.06321580816066337
43,Neurons,RNAsieve,ROSMAPh,0.20563625447866976,0.1236808216760328
44,Oligodendrocytes,RNAsieve,ROSMAPh,-0.03358870382933009,0.07020775326434861
45,Astrocytes,RNAsieve,ROSMAPm,0.13730803095829824,0.08693508276125114
46,Endothelial,RNAsieve,ROSMAPm,0.0060830209612978345,0.10712914267901516
47,Microglia,RNAsieve,ROSMAPm,0.13945480934515803,0.04001053432325089
48,Neurons,RNAsieve,ROSMAPm,0.36262483444875465,0.07690301233507585
49,Oligodendrocytes,RNAsieve,ROSMAPm,0.3744359674936673,0.03091806502899236
50,Astrocytes,MuSiC,ROSMAPh,0.021503103590000336,0.12937632876514807
51,Endothelial,MuSiC,ROSMAPh,0.10268742506996456,0.04969354457648056
52,Microglia,MuSiC,ROSMAPh,0.11568033691722879,0.04605414021695234
