"InNeurons","Astrocytes","Oligodendrocytes","Endothelial","ExNeurons","OPC","Microglia","Unknown"
"X01_120405.Salmon.count.data",0.355100515284044,0.229815821678212,0.0253800456970825,0.214142489225026,0,0,0.164446778989978,0.0111143491256574
"X02_120405.Salmon.count.data",0.676564178245904,0.0827888043178946,0.00117777853826828,0.199696892904714,0,0,0.0388310190152031,0.000941326978016108
"X03_120405.Salmon.count.data",0.636031052015795,0.180493792158772,0.000964445785120877,0.1367353514269,0,0,0.0454684810734701,0.000306877539942967
"X04_120405.Salmon.count.data",0.566633722446701,0.195057390335546,0.00780835543789978,0.201252716700363,0,0,0.029247815079491,0
"X05_120405.Salmon.count.data",0.531540180020801,0.223056439174983,0.000912742987971358,0.148765436557296,0,0,0.0957252012589487,0
"X07_120410.Salmon.count.data",0.580125364031217,0.198392046157582,0.00057759988248481,0.098064865220046,0,0,0.12179251782056,0.00104760688811016
"X08_120410.Salmon.count.data",0.391232424850081,0.261963075046771,0.0698016207177136,0.179834467124395,0,0,0.097168412261039,0
"X100_120417.Salmon.count.data",0.490938136193695,0.228402342418797,0.00463681067371996,0.221879392651999,0.0181757546594069,0,0.0359675634023821,0
"X101_120418.Salmon.count.data",0.475267162019639,0.211592270414456,0.0198091480849551,0.228936239195659,0.029564913146365,0,0.0348302671389259,0
"X102_120418.Salmon.count.data",0.527058346734011,0.0260183911835377,0.196391699030328,0.215807625437194,0,0,0.0347239376149292,0
"X103_120418.Salmon.count.data",0.459423528221406,0.166941434075059,0.0108056625087377,0.168271080039742,0.0876954224824154,0,0.105887943889663,0.000974928782977348
"X104_120418.Salmon.count.data",0.323473083026444,0.275427717087922,0.0596173598528117,0.253961097756455,0,0,0.0875207422763674,0
"X108_120418.Salmon.count.data",0.47287125923151,0.250176575886674,0.0339127887351293,0.18994697907938,0,0,0.0530923970673066,0
"X109_120418.Salmon.count.data",0.665200844518782,0.133517553724011,0.00550665322528526,0.1573187916355,0,0,0.0368595111114951,0.00159664578492699
"X111_120418.Salmon.count.data",0.464787207089298,0.229195529167737,0.018073260572294,0.217259407558506,0,0,0.0705556528133459,0.000128942798819118
"X11_120410.Salmon.count.data",0.253489303698707,0.361357077529348,0.00894760234296906,0.29369814817023,0,0,0.0825078682587454,0
"X112_120418.Salmon.count.data",0.478947771486164,0.297719781784622,0.00951958568348489,0.166547891079582,0.0184675561977247,0,0.0273960712085187,0.00140134255990404
"X113_120418.Salmon.count.data",0.584796595139446,0.225110057959993,0,0.143982132542281,0,0,0.0461112143582796,0
"X115_120418.Salmon.count.data",0.677434384320004,0.0481856669249529,0.00701271358856628,0.134269623219324,0.103952940077405,0,0.0291446718697481,0
"X116_120418.Salmon.count.data",0.469118695293202,0.25797834824301,0.0519652312135896,0.198501120689492,0,0,0.0224366045607068,0
"X118_120418.Salmon.count.data",0.281709502888712,0.383216241274996,0.0281667758978499,0.270845301031544,0,0,0.0350428383200309,0.00101934058686803
"X119_120418.Salmon.count.data",0.0731667744381918,0.510064258104852,0.116405886922738,0.265184656770186,0,0.00126996382773877,0.0339084599362931,0
"X120_120418.Salmon.count.data",0.270707628502258,0.317724695192369,0.076587491963393,0.266708773285038,0,0,0.0682714110569417,0
"X121_120418.Salmon.count.data",0.599885891296425,0.121709096272039,0.0499099198556865,0.195096178998634,0,0,0.0333989135772152,0
"X12_120410.Salmon.count.data",0.480443124991386,0.196284433735416,0.0319813986115117,0.230110804079537,0.0232835667089791,0,0.0378966718731711,0
"X122_120418.Salmon.count.data",0.510888157233899,0.206309141648363,0.00931750121003942,0.195898331448887,0,0,0.0768533607621005,0.00073350769671114
"X124_120419.Salmon.count.data",0.30179419896915,0.395653712836504,0.00142198006483389,0.233751018618156,0,0,0.0673790895113563,0
"X125_120419.Salmon.count.data",0.581495809596954,0.171273975582012,0,0.16621892381596,0,0,0.0810112910050732,0
"X126_120419.Salmon.count.data",0.44294776116425,0.229430291347589,0,0.225914727337617,0,0,0.101707220150544,0
"X128_120419.Salmon.count.data",0.514442470558898,0.233965157532128,0.00129045952878726,0.216582965671302,0,0,0.033113305496403,0.000605641212481758
"X129_120419.Salmon.count.data",0.558007232604302,0.183666977889265,0.015854524752809,0.211728526299859,0,0.000435459574614737,0.029936690425285,0.000370588453865573
"X130_120419.Salmon.count.data",0.680618571578681,0.159608006358009,0.00210116038623806,0.0403368356838325,0,0,0.11733542599324,0
"X131_120419.Salmon.count.data",0.525401176998726,0.188971334622343,0.00183138216506221,0.170289329273222,0.000940556748780557,0,0.112566220191866,0
"X132_120419.Salmon.count.data",0.588720265478545,0.150588005512779,0,0.228480337704935,0,0,0.0322113913037403,0
"X133_120419.Salmon.count.data",0.605186634732488,0.118151270063641,0.018639759456411,0.10188845555687,0.0469786483121927,0,0.109155231878397,0
"X134_120419.Salmon.count.data",0.448604957439826,0.103027327830823,0,0.282444861332999,0.0637938637308349,0,0.096624807290601,0.00550418237491685
"X136_120419.Salmon.count.data",0.466293561793592,0.298392566023724,0.0360924073429252,0.175977825257102,0.00111921389893482,0,0.0216132453298239,0.000511180353897745
"X138_120419.Salmon.count.data",0.483839658781152,0.143122804034007,0,0.130302810239251,0.182223180073834,0,0.0593759845379032,0.0011355623338541
"X140_120419.Salmon.count.data",0.604214079171746,0.166146939115644,0,0.116809348462378,0,0,0.112829633250232,0
"X141_120419.Salmon.count.data",0.517318813005052,0.127004088520633,0.0386581183291719,0.224375255477375,0,0,0.0926437246677691,0
"X14_120410.Salmon.count.data",0.0724338652934746,0.604708491708331,0.118519871443861,0.180237236398645,0,0,0.0241005351556892,0
