,Astrocytes,Endothelial,ExNeurons,InNeurons,Microglia,OPC,Oligodendrocytes,Unknown
Bulk 0,0.20707009260348874,0.18307741072308753,0.007140363762075725,0.3813024036375289,0.09311414775087916,0.0,0.12743983670924056,0.0008557448136993728
Bulk 1,0.14515661380000008,0.07356642813388031,0.01221229505790363,0.6912098675219219,0.018230363723552728,0.0,0.05920055476760463,0.00042387699513670633
Bulk 2,0.16326583657783708,0.07938034710105878,0.10074984022368101,0.6041895707509686,0.0,0.0,0.051997430304247486,0.00041697504220707435
Bulk 3,0.16902226072966767,0.07655219133411734,0.036409119371165505,0.6479453911805152,0.029446927706072174,0.0,0.04061877987721596,5.329801246336921e-06
Bulk 4,0.22633720607377392,0.12166576933677985,0.05548700398412479,0.51290372766296,0.0,0.0,0.08260784796754143,0.0009984449748199772
Bulk 5,0.207093056539853,0.09528577016411575,0.09337449800295135,0.5186062390927466,0.0,0.0,0.08352012529317294,0.002120310907160267
Bulk 6,0.2572261154346344,0.14892835828643503,0.03376691491232877,0.4377583747739598,0.01587656855256732,0.0,0.10461549815783597,0.0018281698822387076
Bulk 7,0.24636553642958847,0.14483976771559962,0.0,0.5339713026447331,0.0,0.0,0.07396894539681642,0.0008544478132624038
Bulk 8,0.2687262374552913,0.061686449716506345,0.0034581695212746095,0.5995297991595839,0.0,0.0,0.04865736348379662,0.017941980663547265
Bulk 9,0.2584731914160189,0.07596897031327686,0.09573723750159012,0.4983378144352292,0.014298089005006153,0.0,0.051890069628126395,0.005294627700752432
Bulk 10,0.21319635217942898,0.15912988264050232,0.0,0.5370051061080412,0.0,0.0,0.05757690693425707,0.03309175213777039
Bulk 11,0.27834706314490026,0.14292143480052008,0.03699308867854039,0.4743890298182276,0.011462734879201901,0.0,0.0558029350238508,8.371365475889431e-05
Bulk 12,0.17275936588934118,0.08938052574030583,0.01545838192661618,0.6166700588448522,0.04308923084769147,0.0,0.04638885546886349,0.016253581282329694
Bulk 13,0.2312618246726496,0.0,0.04633013804269793,0.5675268090947377,0.0,0.0,0.15488122818991476,0.0
Bulk 14,0.26743257974029344,0.1308431822217799,0.026107340614060417,0.48980776591450825,0.0062630740736968555,0.0,0.07762199443637136,0.0019240629992898477
Bulk 15,0.3202308167588213,0.19742744973481177,0.0,0.32283714008910663,0.03323578095056469,0.05246765948186302,0.07230165936963753,0.0014994936151949655
Bulk 16,0.1558867363470776,0.06344594157918551,0.03682261398632185,0.651939732420393,0.027536444487698344,0.0,0.06415917843108863,0.0002093527482350382
Bulk 17,0.20311959001859192,0.055173553814529284,0.002533756798720151,0.6450947437929643,0.0,0.0,0.07793255082998338,0.01614580474521104
Bulk 18,0.20614459200491417,0.05241211483028957,0.0892582977318102,0.49592042764433153,0.0,0.0,0.14467399703108053,0.011590570757574017
Bulk 19,0.2665186391872488,0.09550059749217434,0.0380145589823439,0.49347322398426097,0.058729543966262565,0.0,0.041959466808666405,0.005803969579043018
Bulk 20,0.3530453591311254,0.15363236911055225,0.003571631957700471,0.39086940379893736,0.015222596413789011,0.0,0.08262196379362492,0.0010366757942706032
Bulk 21,0.29881151391683913,0.12296306502347895,0.05422062950511724,0.38182122171150057,0.10447379342705541,0.0,0.03727107146572839,0.0004387049502803625
Bulk 22,0.25482934841288396,0.1932287926580535,0.03547329739222643,0.3947933271228312,0.011807147333585215,0.019320867525934437,0.08971326798393671,0.0008339515705486006
Bulk 23,0.2306200752250011,0.04392302049157027,0.02650722370713749,0.6378019302806079,0.01560838529388959,0.0,0.03025114258704034,0.015288222414753269
