,Astrocytes,Endothelial,ExNeurons,InNeurons,Microglia,OPC,Oligodendrocytes,Unknown
01_120405.Salmon.count.data,0.1998487,0.100773975,0.08397319,0.19115579,0.1076491,0.0359977,0.23785377,0.042747807
02_120405.Salmon.count.data,0.17888688,0.06583919,0.17914121,0.25041628,0.05629308,0.033407375,0.19536126,0.040654764
03_120405.Salmon.count.data,0.21555893,0.06430325,0.15320802,0.2447562,0.06498906,0.041100472,0.16156352,0.054520585
04_120405.Salmon.count.data,0.20568973,0.07610121,0.20757306,0.24307838,0.05341936,0.030009285,0.14046004,0.043668978
05_120405.Salmon.count.data,0.21688959,0.068326555,0.12711152,0.20579192,0.07039629,0.05075196,0.20992681,0.050805353
07_120410.Salmon.count.data,0.23827639,0.07340544,0.1126162,0.22249672,0.06992006,0.039504305,0.16946337,0.07431752
08_120410.Salmon.count.data,0.23838258,0.08694835,0.0736413,0.2079889,0.059888415,0.037753575,0.2456719,0.049724974
100_120417.Salmon.count.data,0.22401683,0.10084926,0.09242123,0.22611426,0.056376934,0.029149625,0.2317199,0.039352007
101_120418.Salmon.count.data,0.22066996,0.070005015,0.17289221,0.22499315,0.058892902,0.024332924,0.17645025,0.051763564
102_120418.Salmon.count.data,0.12408283,0.08969344,0.19374502,0.22666977,0.077239275,0.026237264,0.23403487,0.02829755
103_120418.Salmon.count.data,0.2262967,0.106166065,0.098360196,0.22041571,0.07090305,0.03600534,0.20373267,0.038120285
104_120418.Salmon.count.data,0.25396425,0.099741064,0.12122544,0.20829861,0.052445915,0.028109416,0.20093781,0.035277516
108_120418.Salmon.count.data,0.21344934,0.06531032,0.14214188,0.23662841,0.061595313,0.034439467,0.19733137,0.049103945
109_120418.Salmon.count.data,0.2136246,0.064596325,0.20381817,0.250912,0.046450064,0.029672403,0.13992062,0.051005863
111_120418.Salmon.count.data,0.23582429,0.08031487,0.13103914,0.21025865,0.054395527,0.028374476,0.22054467,0.03924842
11_120410.Salmon.count.data,0.23946509,0.12785327,0.069072574,0.19046965,0.07511116,0.037942324,0.21161324,0.04847268
112_120418.Salmon.count.data,0.19761932,0.073138036,0.18391967,0.26595968,0.057016682,0.025482772,0.16355966,0.033304214
113_120418.Salmon.count.data,0.22672926,0.06620304,0.19097486,0.2438477,0.049306482,0.03153313,0.14740837,0.04399718
115_120418.Salmon.count.data,0.21418601,0.08284168,0.12835877,0.2486757,0.05991229,0.038912244,0.17884068,0.048272625
116_120418.Salmon.count.data,0.2431675,0.07526457,0.10578253,0.23191033,0.05623549,0.035131097,0.20871745,0.043791097
118_120418.Salmon.count.data,0.24283442,0.09303844,0.08977305,0.19589683,0.0608841,0.045414876,0.20638405,0.06577423
119_120418.Salmon.count.data,0.23802748,0.10779135,0.10006836,0.19252127,0.08302162,0.02809747,0.21008454,0.040387947
120_120418.Salmon.count.data,0.24171725,0.14124063,0.073306456,0.18387763,0.051318288,0.02973259,0.23637849,0.042428713
121_120418.Salmon.count.data,0.20941155,0.07769379,0.16255748,0.23995811,0.059878767,0.03385108,0.17842433,0.038224924
12_120410.Salmon.count.data,0.22719693,0.082919925,0.10455944,0.21780214,0.058885925,0.04252211,0.22561884,0.040494688
122_120418.Salmon.count.data,0.25119832,0.09237777,0.102154866,0.21651888,0.047171276,0.029942034,0.226073,0.03456391
124_120419.Salmon.count.data,0.24883103,0.11826751,0.106195986,0.19093165,0.05666215,0.03215439,0.20613186,0.040825408
125_120419.Salmon.count.data,0.23264574,0.06891839,0.14480738,0.2524483,0.0639265,0.025818001,0.17053509,0.04090067
126_120419.Salmon.count.data,0.22017865,0.09743752,0.12909505,0.20719653,0.06438724,0.0279032,0.21699898,0.03680281
128_120419.Salmon.count.data,0.21178627,0.06520952,0.1664943,0.25398952,0.052645415,0.025300577,0.18382597,0.040748503
129_120419.Salmon.count.data,0.24331906,0.06511071,0.17196688,0.25941992,0.04185628,0.03162847,0.14806041,0.038638294
130_120419.Salmon.count.data,0.21895796,0.07088877,0.13243473,0.24241273,0.050995536,0.034279436,0.20340088,0.046629988
131_120419.Salmon.count.data,0.23416984,0.07490653,0.12706605,0.22870032,0.06897098,0.022595465,0.19787917,0.045711726
132_120419.Salmon.count.data,0.21656124,0.09570082,0.1287601,0.2297744,0.0562127,0.036765356,0.19303614,0.043189224
133_120419.Salmon.count.data,0.20347361,0.08765568,0.104066566,0.22376846,0.05784182,0.038970783,0.23513126,0.04909184
134_120419.Salmon.count.data,0.19005977,0.14301571,0.15234849,0.20239064,0.0637904,0.036762215,0.15956616,0.052066572
136_120419.Salmon.count.data,0.22182867,0.07490173,0.15444267,0.23727497,0.05026272,0.029247537,0.19419318,0.037848573
138_120419.Salmon.count.data,0.23342109,0.059600826,0.13460636,0.2558735,0.05171954,0.029788902,0.18872583,0.046264
140_120419.Salmon.count.data,0.23675212,0.08899222,0.119097024,0.20967814,0.058462553,0.04318754,0.21189074,0.03193971
141_120419.Salmon.count.data,0.20956823,0.05456456,0.18845199,0.26027665,0.042934805,0.026035054,0.1866779,0.03149084
14_120410.Salmon.count.data,0.24524972,0.089271724,0.11003834,0.19133294,0.064563744,0.03463427,0.21863288,0.046276458
142_120419.Salmon.count.data,0.19965234,0.076880604,0.19994596,0.2135549,0.062230807,0.03060866,0.1794762,0.037650567
145_120419.Salmon.count.data,0.26847643,0.08116724,0.08241783,0.21401739,0.04210874,0.029641122,0.24770431,0.03446699
146_120419.Salmon.count.data,0.20021865,0.055312358,0.20857486,0.2489135,0.03696091,0.031856563,0.18052727,0.03763591
149_120419.Salmon.count.data,0.20034806,0.09915514,0.13528141,0.21596476,0.06505884,0.03479031,0.21539621,0.03400532
