	Unknown	Endothelial	InNeurons	OPC	Microglia	Oligodendrocytes	Astrocytes	ExNeurons
01_120405.Salmon.count.data	0.051762506	0.11284221	0.175797	0.043370884	0.10020258	0.19436073	0.20565659	0.116007514
02_120405.Salmon.count.data	0.04320569	0.07817169	0.26500455	0.041557197	0.0637527	0.15147112	0.15516771	0.20166929
03_120405.Salmon.count.data	0.048444677	0.087433375	0.25652856	0.04283357	0.06781015	0.112501316	0.2057497	0.17869861
04_120405.Salmon.count.data	0.036652543	0.08810257	0.25548947	0.03647251	0.06096826	0.11250168	0.1946701	0.21514292
05_120405.Salmon.count.data	0.055082437	0.100744545	0.18915205	0.05415349	0.06928252	0.17334448	0.20946734	0.14877315
07_120410.Salmon.count.data	0.05666356	0.10315224	0.2172427	0.047411557	0.0777049	0.13729943	0.21725039	0.14327523
08_120410.Salmon.count.data	0.051267173	0.103655696	0.19285615	0.04442255	0.06580844	0.19201791	0.2358193	0.11415278
100_120417.Salmon.count.data	0.04211651	0.087277114	0.24447091	0.03874764	0.05837759	0.1741596	0.21887536	0.13597533
101_120418.Salmon.count.data	0.047009766	0.08905995	0.2477351	0.03330351	0.062470313	0.13514096	0.21913034	0.16615005
102_120418.Salmon.count.data	0.034274217	0.097636394	0.24197225	0.042841136	0.080452	0.1865664	0.112015	0.20424265
103_120418.Salmon.count.data	0.047113325	0.11273569	0.21243198	0.044580255	0.06543473	0.1610056	0.22920263	0.12749577
104_120418.Salmon.count.data	0.042613905	0.10674433	0.21140198	0.03418058	0.06036928	0.15057583	0.2506493	0.14346482
108_120418.Salmon.count.data	0.042489443	0.0888517	0.2447309	0.04179758	0.06682323	0.16890858	0.18358596	0.16281253
109_120418.Salmon.count.data	0.045941997	0.086472265	0.2579699	0.035326183	0.05971208	0.12529944	0.18223597	0.2070422
111_120418.Salmon.count.data	0.045432746	0.08827868	0.21523023	0.035989195	0.06158644	0.16189265	0.2401943	0.15139572
11_120410.Salmon.count.data	0.0484747	0.1256696	0.19412117	0.046471775	0.08108578	0.17450786	0.228956	0.10071313
112_120418.Salmon.count.data	0.033717725	0.08288465	0.29303896	0.031282995	0.0645515	0.122856684	0.16349132	0.20817615
