,Astrocytes,Endothelial,Microglia,Neurons,Oligodendrocytes
01_120405,0.16425662,0.12080914,0.0886578,0.21882057,0.12793265
02_120405,0.14096342,0.11854331,0.059372358,0.33542323,0.10003762
03_120405,0.16797757,0.10522163,0.07612014,0.29366356,0.09610836
04_120405,0.1565374,0.11557281,0.056559265,0.3403754,0.0983934
05_120405,0.16879633,0.10203467,0.06629688,0.25916547,0.114831746
07_120410,0.17437474,0.1035869,0.07086073,0.26320124,0.08812052
08_120410,0.18707272,0.10113847,0.070582464,0.22954361,0.12643437
100_120417,0.17879558,0.113017045,0.070752464,0.29117084,0.12366919
101_120418,0.18233433,0.11427923,0.06576865,0.30361438,0.08784744
102_120418,0.12298183,0.11380964,0.074872,0.34592366,0.13678658
103_120418,0.18062714,0.12986962,0.06329584,0.24396817,0.10521673
104_120418,0.19435406,0.124104194,0.06859967,0.266822,0.11527332
108_120418,0.15800442,0.10508096,0.06826191,0.3155903,0.11390364
109_120418,0.17169611,0.11177718,0.064105265,0.33829355,0.08622295
111_120418,0.19639146,0.10056342,0.06855411,0.27706337,0.11601695
11_120410,0.19377673,0.12612596,0.08160233,0.20610842,0.13956843
112_120418,0.15873998,0.12177601,0.049062453,0.35528812,0.08833516
113_120418,0.17525971,0.10645132,0.07257199,0.3152949,0.08736884
115_120418,0.16009042,0.11168496,0.060637437,0.3026174,0.095466375
116_120418,0.18122452,0.1077559,0.06660716,0.2789236,0.111606084
118_120418,0.19404408,0.102341086,0.07111393,0.21556906,0.11711594
119_120418,0.20937994,0.123551235,0.08465338,0.22747219,0.124776185
120_120418,0.20123558,0.12547997,0.07452967,0.2201204,0.1300593
121_120418,0.15015434,0.11915645,0.050074574,0.32539406,0.102318525
12_120410,0.17426303,0.11960265,0.067143194,0.26748952,0.12941962
122_120418,0.18701833,0.11226405,0.07352953,0.27148598,0.13019072
124_120419,0.18948513,0.11956416,0.079538755,0.24718735,0.11466857
125_120419,0.16892159,0.11343243,0.07382664,0.3080445,0.087258354
126_120419,0.1790123,0.112272225,0.069671415,0.27944335,0.09692508
128_120419,0.1668645,0.12965348,0.07191759,0.32758522,0.0931147
129_120419,0.18858692,0.089615464,0.050051093,0.32606813,0.08278763
130_120419,0.17555162,0.11873275,0.06346339,0.2689655,0.09751929
131_120419,0.19680111,0.10661471,0.0745952,0.26693743,0.10061743
132_120419,0.16702253,0.13306618,0.06490993,0.2903731,0.10292198
133_120419,0.15820912,0.13012907,0.055784695,0.2867102,0.10963711
134_120419,0.16896348,0.15766922,0.07105633,0.2557342,0.09652062
136_120419,0.18238936,0.109691694,0.05638855,0.3076701,0.09539448
138_120419,0.18067853,0.10623004,0.07485081,0.30056775,0.09475913
140_120419,0.18495557,0.11856161,0.06622787,0.24398634,0.10354225
141_120419,0.16420764,0.10271184,0.054711334,0.3502285,0.107665084
14_120410,0.20371549,0.09811704,0.072301,0.24549818,0.11281189
142_120419,0.15840453,0.10044558,0.056024916,0.34770846,0.098082684
145_120419,0.22966194,0.10903909,0.060519107,0.2216193,0.13263513
146_120419,0.17676638,0.09759109,0.03224372,0.36100873,0.10745834
149_120419,0.17685387,0.13080758,0.069929466,0.2877345,0.11125092
