,Astrocytes,Endothelial,ExNeurons,InNeurons,Microglia,OPC,Oligodendrocytes,Unknown
01_120405.Salmon.count.data,0.226376,0.12626097,0.176431,0.17912039,0.1461876,0.06768825,0.22304165,0.052822735
02_120405.Salmon.count.data,0.2031687,0.08367427,0.27744138,0.2517347,0.09424844,0.0806994,0.17870131,0.04784722
03_120405.Salmon.count.data,0.23533851,0.08398667,0.2427298,0.23166084,0.09019099,0.08648637,0.15692522,0.04928996
04_120405.Salmon.count.data,0.22146626,0.09096272,0.27687863,0.25155285,0.09375727,0.06395727,0.15070811,0.03932876
05_120405.Salmon.count.data,0.23153305,0.097325355,0.20783117,0.19479862,0.09852912,0.101608306,0.19984975,0.05556643
07_120410.Salmon.count.data,0.2361417,0.10248238,0.20933558,0.20975322,0.096142754,0.08487986,0.16398256,0.06503216
08_120410.Salmon.count.data,0.2531106,0.113112494,0.19207019,0.19579446,0.0968354,0.080262095,0.22089204,0.05911727
100_120417.Salmon.count.data,0.25358957,0.10266465,0.22089963,0.22722599,0.09219682,0.07554098,0.20109525,0.04568887
101_120418.Salmon.count.data,0.24308649,0.088267714,0.25973666,0.23123786,0.090973005,0.055448763,0.1679804,0.048502773
102_120418.Salmon.count.data,0.17621803,0.09785406,0.2841039,0.24001539,0.12159682,0.07380441,0.21293315,0.034702398
103_120418.Salmon.count.data,0.23923895,0.11808699,0.2109975,0.20831338,0.10113866,0.07746037,0.191653,0.04725261
104_120418.Salmon.count.data,0.26463693,0.11011322,0.2225485,0.20690292,0.0876597,0.06659314,0.17989087,0.038568176
108_120418.Salmon.count.data,0.22586936,0.08810579,0.24289033,0.23995,0.10398986,0.07803378,0.1816391,0.04984463
109_120418.Salmon.count.data,0.22792852,0.0805697,0.26989123,0.24759442,0.08002634,0.07632375,0.15429105,0.051312517
111_120418.Salmon.count.data,0.25541428,0.09228621,0.2322338,0.21263018,0.09332616,0.06423202,0.19366753,0.05061719
11_120410.Salmon.count.data,0.25378868,0.1385263,0.17293292,0.18185058,0.1051687,0.077743165,0.19924822,0.049799137
112_120418.Salmon.count.data,0.21860011,0.08987145,0.274434,0.2723667,0.09220683,0.070463076,0.15972373,0.041292302
113_120418.Salmon.count.data,0.24500914,0.07605478,0.26346576,0.24498868,0.08821115,0.07198864,0.14960279,0.0388626
115_120418.Salmon.count.data,0.22398996,0.091310784,0.2421083,0.24247867,0.09157929,0.092092276,0.16358382,0.048708856
116_120418.Salmon.count.data,0.255091,0.095541075,0.21938868,0.22525713,0.0960411,0.07707512,0.18965128,0.046461012
118_120418.Salmon.count.data,0.26772082,0.11578663,0.18192151,0.17857349,0.08506404,0.07410483,0.18244563,0.07095169
119_120418.Salmon.count.data,0.2604727,0.10721259,0.20297492,0.19711548,0.119020835,0.061946884,0.19431221,0.038352706
120_120418.Salmon.count.data,0.25788245,0.15108465,0.1763525,0.17655385,0.09208028,0.07238602,0.21768728,0.048811845
121_120418.Salmon.count.data,0.21443382,0.09681687,0.25655484,0.24467656,0.09221522,0.082249865,0.16781536,0.04791631
12_120410.Salmon.count.data,0.24444064,0.10159697,0.2158196,0.21556783,0.09389808,0.09111846,0.20681131,0.04419902
122_120418.Salmon.count.data,0.2726252,0.10624573,0.21805933,0.22342944,0.0865674,0.06757021,0.19734457,0.038201302
124_120419.Salmon.count.data,0.2729342,0.11769493,0.20672281,0.1934011,0.0879495,0.06128732,0.17579755,0.0454003
125_120419.Salmon.count.data,0.24748372,0.088016726,0.24948968,0.24896845,0.099611804,0.06468174,0.16154206,0.03638918
126_120419.Salmon.count.data,0.2410373,0.11087659,0.23320335,0.20682889,0.09925521,0.060325578,0.20139837,0.046249025
128_120419.Salmon.count.data,0.23839027,0.082233384,0.26372713,0.25691092,0.09479861,0.0631973,0.18185395,0.042317547
129_120419.Salmon.count.data,0.2437934,0.08394657,0.26402706,0.25827277,0.0837169,0.07501189,0.15695359,0.034108333
130_120419.Salmon.count.data,0.24508967,0.091599524,0.23632352,0.23191053,0.08537695,0.080963045,0.18668996,0.04952669
131_120419.Salmon.count.data,0.25562504,0.091345094,0.22728287,0.22116747,0.10441513,0.05833542,0.17988743,0.050897848
132_120419.Salmon.count.data,0.23611453,0.11396669,0.22713523,0.23630434,0.08772929,0.08453562,0.18449788,0.043229282
133_120419.Salmon.count.data,0.2403185,0.115113586,0.20047492,0.21328393,0.08797285,0.08431928,0.2026175,0.067510486
134_120419.Salmon.count.data,0.21092802,0.13047478,0.23815699,0.21287894,0.10213583,0.064158216,0.16280153,0.0494882
136_120419.Salmon.count.data,0.2517239,0.090121865,0.25695756,0.24035048,0.07747037,0.07370846,0.18003125,0.035635903
138_120419.Salmon.count.data,0.24094808,0.07970494,0.25180858,0.25336066,0.08852576,0.07341881,0.1722092,0.051642753
140_120419.Salmon.count.data,0.2558298,0.10790363,0.22086737,0.2019003,0.08763738,0.08376414,0.1894577,0.03441695
141_120419.Salmon.count.data,0.2322573,0.0726704,0.27898857,0.25912192,0.08288742,0.07336229,0.18488802,0.042564675
14_120410.Salmon.count.data,0.25882596,0.10041992,0.21089293,0.18152153,0.09914603,0.07577956,0.1999119,0.04522266
142_120419.Salmon.count.data,0.22402497,0.083850816,0.2802962,0.21623686,0.09449431,0.06301156,0.17137378,0.03898014
145_120419.Salmon.count.data,0.28485882,0.09974642,0.2076092,0.2142629,0.08322131,0.076743245,0.20756154,0.036072902
146_120419.Salmon.count.data,0.21780856,0.07293627,0.28457925,0.25598836,0.08213321,0.08381279,0.1811987,0.042084686
149_120419.Salmon.count.data,0.2134017,0.11180371,0.24386291,0.23281956,0.108764336,0.078564934,0.18953252,0.035085447
150_120419_0_merged.Salmon.count.data,0.24244733,0.08579436,0.27069134,0.2700017,0.09099506,0.07092734,0.17050534,0.02181185
150_120419.Salmon.count.data,0.2423687,0.08566669,0.27090773,0.2695583,0.09090365,0.07098501,0.17063405,0.021808997
15_120410.Salmon.count.data,0.23059037,0.13176258,0.19507778,0.16993216,0.09014221,0.088210166,0.22910336,0.06206509
152_120419.Salmon.count.data,0.19938323,0.12102719,0.23966199,0.24277246,0.13754566,0.055762514,0.17188607,0.038767822
153_120423.Salmon.count.data,0.2554535,0.08847317,0.24112283,0.2291292,0.08164901,0.07739756,0.19381562,0.042634934
154_120423.Salmon.count.data,0.26152658,0.08328962,0.22987217,0.22100383,0.094631284,0.07617558,0.18983886,0.040502828
155_120423.Salmon.count.data,0.26150456,0.11722477,0.18815349,0.18356997,0.09916428,0.07897747,0.1848529,0.049427204
158_120423.Salmon.count.data,0.25388286,0.09034614,0.24376935,0.2454499,0.079976894,0.07081935,0.19553049,0.048577264
