,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_46,0.233264,0.23803458,0.18629543,0.018149,0.2592709,0.06498606,mild,T,1,6,2.5363201577963435,0.39427199161987503,TAPE,,,
lnc_47,0.20369345,0.21782069,0.1385609,0.02061925,0.33454794,0.0847578,mild,C,1,3,1.674124910169825,0.5973269938971035,TAPE,,,
lnc_11,0.31045288,0.047268733,0.031154776,0.03742281,0.493669,0.080031805,mild,T,2,6,0.787726976982553,1.2694753756315096,TAPE,,,
lnc_10,0.32222793,0.13573244,0.07650495,0.0036352698,0.37549803,0.086401336,mild,R,2,0,1.4233505299615021,0.7025676240321823,TAPE,,,
lnc_19,0.17478211,0.24337317,0.16650566,0.011560054,0.31003264,0.09374635,mild,T,3,6,1.8858044752965364,0.5302776682841169,TAPE,,,
lnc_21,0.36557692,0.12484536,0.0684223,0.015083593,0.3219658,0.10410601,mild,C,3,3,1.7357265274758995,0.5761276238914226,TAPE,,,
lnc_20,0.2844858,0.19314626,0.14652881,0.01879956,0.18776606,0.16927354,mild,R,3,0,3.3241410614889615,0.30082959221714745,TAPE,,,
lnc_25,0.2519203,0.20845906,0.16582973,0.018391825,0.24358846,0.11181058,mild,T,4,6,2.570766652903015,0.3889890196260166,TAPE,,,
lnc_26,0.17783877,0.19963872,0.16083893,0.028755372,0.31802958,0.114898585,mild,C,4,3,1.692661481362834,0.5907855829476649,TAPE,,,
lnc_27,0.10998534,0.2586091,0.17974272,0.041359246,0.33369598,0.076607585,mild,R,4,0,1.6432237511521715,0.6085598502935676,TAPE,,,
lnc_40,0.20295058,0.16604738,0.1451709,0.021754043,0.36749336,0.09658373,mild,T,5,6,1.3991242181899557,0.7147328214314652,TAPE,,,
lnc_41,0.068901114,0.2378995,0.17071779,0.0435619,0.37642777,0.10249191,mild,C,5,3,1.2685525406374774,0.7883000253954611,TAPE,,,
lnc_6,0.06958275,0.29464036,0.17657647,0.03304573,0.3387526,0.08740205,moderate,T,8,7,1.5964440715731774,0.6263921284850111,TAPE,,,
lnc_5,0.34897733,0.21467347,0.18429899,0.022666581,0.16076872,0.06861493,moderate,C,8,4,4.652334048563676,0.21494587223562156,TAPE,,,
lnc_8,0.3357247,0.14572126,0.1752403,0.03713668,0.19621351,0.10996352,moderate,T,9,7,3.346794316048879,0.298793384225825,TAPE,,,
lnc_7,0.32929674,0.21204914,0.1707054,0.019176707,0.19839606,0.07037601,moderate,C,9,4,3.5890394194320185,0.27862608434606007,TAPE,,,
lnc_9,0.19665013,0.25805292,0.18933225,0.034921855,0.19601929,0.12502362,moderate,R,9,1,3.2855710272188006,0.3043610963560538,TAPE,,,
lnc_16,0.17092258,0.14044012,0.14807796,0.031023508,0.37468714,0.13484871,moderate,T,10,7,1.2261981022353743,0.8155289085646011,TAPE,,,
lnc_17,0.29712906,0.113954395,0.10496936,0.009037725,0.39710268,0.077806756,moderate,C,10,4,1.2995450320305066,0.7695000752975255,TAPE,,,
lnc_18,0.20425616,0.27200332,0.15918294,0.02365417,0.25998864,0.08091478,moderate,R,10,1,2.444116096764843,0.4091458672211402,TAPE,,,
lnc_31,0.15293486,0.23799616,0.17850287,0.02828443,0.31775653,0.08452513,moderate,T,11,7,1.7920446512932402,0.5580218100471681,TAPE,,,
lnc_33,0.10174511,0.13401464,0.12339729,0.044039357,0.4089201,0.18788353,moderate,R,11,1,0.8783061532069467,1.1385551568194237,TAPE,,,
lnc_35,0.13459203,0.1387306,0.12130331,0.031049833,0.42472398,0.14960025,moderate,T,12,7,0.9291350584913995,1.0762697961517684,TAPE,,,
