,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_10,0.190554612982742,0.381560601921799,0.193773664395865,0.0874506567819717,0.114263489704088,0.0323969742135339,mild,R,2,0,6.702831160538279,0.1491906891355583,CIBERSORTx,0.0,0.376189597212656,0.928628819658655
lnc_11,0.1386245020737,0.39680838003555,0.138234657747184,0.141392263447392,0.140731070830941,0.0442091258652334,mild,T,2,6,4.786914047330066,0.20890285267556805,CIBERSORTx,0.0,0.356013953911597,0.941826985419546
lnc_13,0.255579429437965,0.121803047409205,0.0789399601558206,0.123321987008476,0.388399013602769,0.0319565623857636,serious,C,14,5,1.1748805249791123,0.8511503754969286,CIBERSORTx,0.0,0.467145034055748,0.991697471769036
lnc_14,0.295667772371197,0.187267447098864,0.15647223527621,0.0873655156840267,0.231624304107906,0.0416027254617966,serious,T,14,8,2.760536970457092,0.36224836352560025,CIBERSORTx,0.0,0.447596641566646,0.915348860326034
lnc_15,0.15226852784428,0.310856849829949,0.242598756926456,0.104475102633482,0.140413960650104,0.0493868021157275,serious,R,14,2,5.026025413237016,0.19896437398949585,CIBERSORTx,0.0,0.405918383941813,0.916434447909811
lnc_16,0.409512816690532,0.205219123343564,0.114090451810625,0.173698912546206,0.062824927348458,0.0346537682606154,moderate,T,10,7,11.600847348414952,0.08620059983261759,CIBERSORTx,0.0,0.539197782656798,0.845662309794296
lnc_17,0.326122316556135,0.310821714786251,0.149818276108743,0.0978092607632423,0.0,0.115428431785628,moderate,C,10,4,inf,0.0,CIBERSORTx,0.0,0.365851509475285,0.930957265704656
lnc_18,0.190241240596806,0.31688337896855,0.234254442587277,0.136236733045772,0.0648608430158054,0.057523361785789,moderate,R,10,1,11.430302593692353,0.0874867477744496,CIBERSORTx,0.0,0.39334748803918,0.91967837434697
lnc_19,0.114718239990104,0.307563651476694,0.178172259476107,0.10365350920151,0.187312135650263,0.108580204205322,mild,T,3,6,3.2056340015472027,0.3119507715220605,CIBERSORTx,0.0,0.315589728404869,0.977722787091643
lnc_20,0.0724598595479254,0.360476908413409,0.229285925022157,0.110435920160498,0.192876448023373,0.0344649388326379,mild,R,3,0,3.433403610290679,0.2912561741948358,CIBERSORTx,0.0,0.285940025180125,0.994728346941733
lnc_21,0.146148269543259,0.338564343862635,0.148815104986392,0.149542376819391,0.159948713380789,0.0569811914075333,mild,C,3,3,3.9608178459307153,0.2524731100743209,CIBERSORTx,0.0,0.508488299154594,0.860955289187957
lnc_23,0.0,0.35704105947641,0.26562876000907,0.183463747495106,0.146793425843738,0.0470730071756758,serious,C,15,5,4.241809985062368,0.23574841954767498,CIBERSORTx,0.0,0.40681405635268,0.917170020059566
lnc_24,0.0166495121820893,0.368994501767546,0.256253090560588,0.131790211433041,0.179598524814693,0.0467141592420419,serious,T,15,8,3.5740666866419026,0.2797933244327831,CIBERSORTx,0.0,0.364757399539383,0.946642436680928
lnc_26,0.256656811388724,0.30851258050296,0.201928410582967,0.124126414233451,0.0251903198748129,0.0835854634170861,mild,C,4,3,30.452086606555994,0.03283847221768742,CIBERSORTx,0.0,0.326372260823632,0.945997288322351
lnc_27,0.27173231859143,0.389726372179043,0.182003267645798,0.116169689096871,0.016628517465679,0.02373983502118,mild,R,4,0,50.72382190157139,0.019714602774619013,CIBERSORTx,0.0,0.422640080443592,0.909963410173681
lnc_28,0.149837146019706,0.483498797562072,0.184644752048457,0.0954503080258931,0.0,0.0865689963438716,serious,R,18,2,inf,0.0,CIBERSORTx,0.0,0.308985883812973,0.951723750664061
lnc_29,0.158119377525775,0.19165366222453,0.207005054551536,0.148000629021757,0.133290897754034,0.161930378922368,serious,C,18,5,4.177165160439399,0.2393968065880376,CIBERSORTx,0.0,0.332581279844487,0.955307125066781
lnc_30,0.38530629541017,0.105676574297294,0.143891865183595,0.114841485236587,0.187640078082336,0.062643701790018,serious,T,18,8,3.38347085217305,0.29555448936636924,CIBERSORTx,0.0,0.465522824229808,0.895873728641586
lnc_31,0.22163060700498,0.387270343302639,0.198438411057905,0.106410380491252,0.0659777750164527,0.0202724831267707,moderate,T,11,7,12.236535123595786,0.08172248025273869,CIBERSORTx,0.0,0.353530805578276,0.936172016091901
lnc_33,0.0982863949951179,0.41468484681735,0.168863950613971,0.133918983563383,0.133432876780111,0.0508129472300668,moderate,R,11,1,5.109948978691814,0.1956966701957184,CIBERSORTx,0.0,0.39973863744574,0.918578106449208
lnc_34,0.0344969369664145,0.242695125336309,0.0888010613442786,0.147953046074149,0.277418002071072,0.208635828207776,moderate,C,12,4,1.3192839718932081,0.7579869241987174,CIBERSORTx,0.0,0.371325907685794,0.993590931895982
lnc_35,0.082889046610787,0.28316787124927,0.124616588433335,0.18919526989364,0.201698105979994,0.118433117832975,moderate,T,12,7,2.4327125131361464,0.4110637794643658,CIBERSORTx,0.0,0.420559621403923,0.922021272826745
