,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_10,0.188014739007792,0.489487137588441,0.0398855358790534,0.0430799890362977,0.116671054956744,0.122861543531672,mild,R,2,0,6.148803683495097,0.162633261927722,DWLS,,,
lnc_11,0.164457673439785,0.4698857553673821,0.0453290030154223,0.0515472735058364,0.137735789918157,0.131044504753417,mild,T,2,6,4.934610185387928,0.20265025248825935,DWLS,,,
lnc_13,0.3035388288705746,0.2933522016702237,4.5391783495683554e-05,0.0559014681897732,0.2338736076277307,0.1132885018582018,serious,C,14,5,2.5523889949757392,0.39178981023991805,DWLS,,,
lnc_14,0.3071262769111811,0.3826779901872061,0.0085888172245813,0.0390987329264914,0.132637689227196,0.129870493523344,serious,T,14,8,5.265419568088873,0.18991838866184751,DWLS,,,
lnc_15,0.2249556835979541,0.4020809506370811,0.0469977425828402,0.0337822250608732,0.123880067953541,0.1683033301677101,serious,R,14,2,5.441023628358518,0.1837889464011915,DWLS,,,
lnc_16,0.2518009270628512,0.4279449319100954,0.0193397951078338,0.0509569650087772,0.1170888214239071,0.1328685594865351,moderate,T,10,7,5.970558466463833,0.16748851981216212,DWLS,,,
lnc_17,0.2248735440122249,0.4058723053617399,0.0422593899799789,0.0367210481336043,0.0838860887977147,0.2063876237147369,moderate,C,10,4,8.022846803322155,0.12464403528008453,DWLS,,,
lnc_18,0.1857716471291351,0.4291245589520883,0.0675520535009321,0.0400357852685233,0.108175485779913,0.1693404693694081,moderate,R,10,1,6.308714536032882,0.15851089699627324,DWLS,,,
lnc_19,0.1301786369797019,0.4258683247768146,0.0659625719007194,0.0454657020012922,0.1395903260636329,0.1929344382778388,mild,T,3,6,4.455964472593108,0.22441830632865417,DWLS,,,
lnc_20,0.103665281832397,0.5032928982024041,0.06570792213129,0.0345223780239889,0.156135698407499,0.136675821402421,mild,R,3,0,4.308214642947943,0.23211471174884152,DWLS,,,
lnc_21,0.18259239535892,0.4276799654253151,0.0493740177764297,0.043316176909558,0.142560650919614,0.154476793610163,mild,C,3,3,4.62712799293138,0.21611677946398872,DWLS,,,
lnc_23,0.0640072606570761,0.4778714676512301,0.101222659371859,0.0565268120142826,0.143915900098133,0.156455900207419,serious,C,15,5,4.468591637488624,0.22378415418644212,DWLS,,,
lnc_24,0.0640417715801265,0.516904156705448,0.0667960616162892,0.0555566003672004,0.131466898829266,0.16523451090167,serious,T,15,8,4.927034832875126,0.2029618287509567,DWLS,,,
lnc_25,0.248556800500774,0.485892878562553,0.0550050114973858,0.0467348973841704,0.0461137480596859,0.117696663995431,mild,T,4,6,17.119725109720136,0.05841215285823871,DWLS,,,
lnc_26,0.2613534644185331,0.3944165322554521,0.0503243867995935,0.0521003609069213,0.0664996891433328,0.175305566476167,mild,C,4,3,10.618010288013068,0.09417960360510523,DWLS,,,
lnc_27,0.2075019489410768,0.5178976711084626,0.0363603006703307,0.0495280678285104,0.0612349278846051,0.1274770835670139,mild,R,4,0,12.439957831833782,0.08038612457680569,DWLS,,,
lnc_28,0.215710090990021,0.427284757702452,0.095043535646406,0.0292451036045435,0.0762079420601274,0.15650856999645,serious,R,18,2,9.684533716401543,0.10325742356665236,DWLS,,,
lnc_29,0.1741817046507671,0.3710766204526644,0.0525762243356724,0.0444517891686664,0.1497503259310451,0.2079633354611842,serious,C,18,5,3.9922086694781975,0.250487908521752,DWLS,,,
lnc_30,0.2441809892579019,0.3459923501390629,0.0596099854692457,0.0439930995013334,0.1510726993357589,0.1551508762966969,serious,T,18,8,4.3011300368842145,0.23249703948137568,DWLS,,,
lnc_31,0.147589628894829,0.5209291518698004,0.0567409920509352,0.0456021897801652,0.106544659111868,0.122593378292402,moderate,T,11,7,6.807096468853199,0.1469055131766733,DWLS,,,
lnc_33,0.1181530075975748,0.5162384463352102,0.0477318965979224,0.0464729468735158,0.1325075427803268,0.1388961598154497,moderate,R,11,1,5.147807711305482,0.19425745017705803,DWLS,,,
lnc_34,0.0786078772679411,0.3859130901619665,0.0369883317508479,0.0424595797911457,0.1891427409172827,0.2668883801108157,moderate,C,12,4,2.651485839470198,0.3771470264385094,DWLS,,,
