,CellType,Method,DataType,Tissue,CCC,L1error
0,skeletal muscle satellite cell,DWLS,umi2counts,Limb_Muscle,0.9760042875552315,0.026057983287901022
1,mesenchymal stem cell,DWLS,umi2counts,Limb_Muscle,0.9778454798887469,0.026112199123786546
2,endothelial cell,DWLS,umi2counts,Limb_Muscle,0.7354693873778012,0.10981466781134099
3,B cell,DWLS,umi2counts,Limb_Muscle,0.952402609929412,0.03278470382453775
4,macrophage,DWLS,umi2counts,Limb_Muscle,0.9559921471787035,0.027680091369471388
5,T cell,DWLS,umi2counts,Limb_Muscle,0.6998841152112443,0.06553559601877267
6,skeletal muscle satellite cell,DWLS,counts2umi,Limb_Muscle,0.4425168249334691,0.2100485405021844
7,mesenchymal stem cell,DWLS,counts2umi,Limb_Muscle,0.7605365769715674,0.0607582518269286
8,endothelial cell,DWLS,counts2umi,Limb_Muscle,0.8845251222593106,0.048045415242201184
9,B cell,DWLS,counts2umi,Limb_Muscle,0.896862636373518,0.03544827474662551
10,macrophage,DWLS,counts2umi,Limb_Muscle,0.8929434171323883,0.05150215627476259
11,T cell,DWLS,counts2umi,Limb_Muscle,0.8979150363874929,0.04232676416864416
12,lung endothelial cell,DWLS,umi2counts,Lung,0.7794864029793158,0.04465987855994524
13,stromal cell,DWLS,umi2counts,Lung,0.8750820556017453,0.046645395243603616
14,classical monocyte,DWLS,umi2counts,Lung,0.9067242665533088,0.0350567456458215
15,myeloid cell,DWLS,umi2counts,Lung,0.635044735323224,0.04800811871229626
16,B cell,DWLS,umi2counts,Lung,0.9707197311623216,0.019867106263039228
17,T cell,DWLS,umi2counts,Lung,0.8902146296541228,0.043041506610831434
18,natural killer cell,DWLS,umi2counts,Lung,0.8456563082498343,0.052485669511726146
19,leukocyte,DWLS,umi2counts,Lung,0.8577217206583965,0.048807770699909374
20,ciliated columnar cell of tracheobronchial tree,DWLS,umi2counts,Lung,0.4506177922444996,0.07288119873110639
21,lung endothelial cell,DWLS,counts2umi,Lung,0.7202697312734065,0.040823018984014484
22,stromal cell,DWLS,counts2umi,Lung,0.539921590346506,0.07490514445801388
23,classical monocyte,DWLS,counts2umi,Lung,0.4224625004595329,0.12944265554966455
24,myeloid cell,DWLS,counts2umi,Lung,0.5326819343218965,0.08775090244298679
25,B cell,DWLS,counts2umi,Lung,0.6297321792098018,0.08281050298992464
26,T cell,DWLS,counts2umi,Lung,0.3019399064796027,0.1775690825526536
27,natural killer cell,DWLS,counts2umi,Lung,0.7334437889626839,0.05468011128432648
28,leukocyte,DWLS,counts2umi,Lung,0.675869145417575,0.07074973887770074
