,CellType,Method,DataType,MissingCell,CCC,L1error
0,hematopoietic precursor cell,DWLS,counts2umi,lpb,0.3107238608331995,0.16322229549626144
1,granulocyte,DWLS,counts2umi,lpb,0.056566001251268594,0.24652473653230575
2,monocyte,DWLS,counts2umi,lpb,0.6620086250265291,0.09691570330517152
3,macrophage,DWLS,counts2umi,lpb,0.3828030290192958,0.09401554699834751
4,basophil,DWLS,counts2umi,lpb,0.5047764852436746,0.07667533504597586
5,Bcell_sum,DWLS,counts2umi,lpb,0.2524931155977122,0.2172306717389244
6,hematopoietic precursor cell,DWLS,umi2counts,lpb,0.28654184513502445,0.12177136807842531
7,granulocyte,DWLS,umi2counts,lpb,0.8631601015960537,0.054436758992915786
8,monocyte,DWLS,umi2counts,lpb,0.937786737793234,0.03099055027159868
9,macrophage,DWLS,umi2counts,lpb,0.9448406788052316,0.02724442860823655
10,basophil,DWLS,umi2counts,lpb,0.897471885279012,0.03808033572119039
11,Bcell_sum,DWLS,umi2counts,lpb,0.8718583406151623,0.07147658069355403
12,hematopoietic precursor cell,DWLS,counts2umi,ib,0.238142842461991,0.14534517963620747
13,granulocyte,DWLS,counts2umi,ib,0.7190709449600601,0.06978406873704215
14,monocyte,DWLS,counts2umi,ib,0.2920337267322951,0.2604958723019804
15,macrophage,DWLS,counts2umi,ib,0.5800393559353514,0.07358552354627589
16,basophil,DWLS,counts2umi,ib,0.541908046539546,0.07064948822207319
17,Bcell_sum,DWLS,counts2umi,ib,0.24809826837745516,0.20519326259096196
18,hematopoietic precursor cell,DWLS,umi2counts,ib,0.31176082595946764,0.12505144054451667
19,granulocyte,DWLS,umi2counts,ib,0.7760132736392338,0.08844838052058178
20,monocyte,DWLS,umi2counts,ib,0.8572597756577454,0.0639728869770276
21,macrophage,DWLS,umi2counts,ib,0.8493004147910755,0.061675085921948786
22,basophil,DWLS,umi2counts,ib,0.9646010883940055,0.023024848191404393
23,Bcell_sum,DWLS,umi2counts,ib,0.7402096909140932,0.08785474570862785
24,hematopoietic precursor cell,CIBERSORTx,counts2umi,lpb,0.3005509695812479,0.13757356530006548
25,granulocyte,CIBERSORTx,counts2umi,lpb,0.3048060793036115,0.2323095043109085
26,monocyte,CIBERSORTx,counts2umi,lpb,0.7157603464314098,0.07699118866561756
27,macrophage,CIBERSORTx,counts2umi,lpb,0.745506575826885,0.056149695676604924
28,basophil,CIBERSORTx,counts2umi,lpb,0.14091639460234834,0.11398527377235514
29,Bcell_sum,CIBERSORTx,counts2umi,lpb,0.29861570237107354,0.15361348388721519
30,hematopoietic precursor cell,CIBERSORTx,umi2counts,lpb,0.43608732801356503,0.14888047499280532
31,granulocyte,CIBERSORTx,umi2counts,lpb,0.6169996666323799,0.0730256516502513
32,monocyte,CIBERSORTx,umi2counts,lpb,0.20168284432285846,0.27089149034676085
33,macrophage,CIBERSORTx,umi2counts,lpb,0.701276095464639,0.06606951273824982
34,basophil,CIBERSORTx,umi2counts,lpb,0.47093552008581646,0.08833974384658962
35,Bcell_sum,CIBERSORTx,umi2counts,lpb,0.049299860392024386,0.24083232026927068
36,hematopoietic precursor cell,CIBERSORTx,counts2umi,ib,0.3335425826276768,0.1554801428169713
37,granulocyte,CIBERSORTx,counts2umi,ib,0.4338371852947785,0.1805842362124693
38,monocyte,CIBERSORTx,counts2umi,ib,0.7125029605729541,0.062982061363466
39,macrophage,CIBERSORTx,counts2umi,ib,0.5605909204543176,0.0752035829176083
40,basophil,CIBERSORTx,counts2umi,ib,0.27608382081503124,0.10248861051426768
41,Bcell_sum,CIBERSORTx,counts2umi,ib,0.5132505220602058,0.12177884318654876
42,hematopoietic precursor cell,CIBERSORTx,umi2counts,ib,0.711709735984698,0.06639937731221915
43,granulocyte,CIBERSORTx,umi2counts,ib,0.643010504961726,0.07242051451818568
44,monocyte,CIBERSORTx,umi2counts,ib,0.19979147227755314,0.2791300453983739
45,macrophage,CIBERSORTx,umi2counts,ib,0.7132683652118375,0.06183162942534736
46,basophil,CIBERSORTx,umi2counts,ib,0.2077646846329988,0.12305601310673919
47,Bcell_sum,CIBERSORTx,umi2counts,ib,0.5846122002308413,0.11046758781600235
48,hematopoietic precursor cell,Scaden,counts2umi,lpb,0.6322801286342727,0.050871817351695346
49,macrophage,Scaden,counts2umi,lpb,0.7321068822026273,0.05406032281177143
50,granulocyte,Scaden,counts2umi,lpb,0.5643860305498546,0.09010950872572547
51,basophil,Scaden,counts2umi,lpb,0.5656758750974001,0.07586981273184314
52,monocyte,Scaden,counts2umi,lpb,0.6198451105772361,0.07201224832141637
53,Bcell_sum,Scaden,counts2umi,lpb,0.4847337996192537,0.11363162130598108
54,hematopoietic precursor cell,Scaden,umi2counts,lpb,0.1853200897915757,0.3115918444372165
55,macrophage,Scaden,umi2counts,lpb,0.8432105418306616,0.05000013403109823
56,granulocyte,Scaden,umi2counts,lpb,0.7565919525934884,0.05605095966191115
57,basophil,Scaden,umi2counts,lpb,0.2602247596837927,0.10630220193889334
58,monocyte,Scaden,umi2counts,lpb,0.8699455909787727,0.03909327598897663
59,Bcell_sum,Scaden,umi2counts,lpb,0.24444955307257887,0.16441771981269082
60,hematopoietic precursor cell,Scaden,counts2umi,ib,0.5900192211201628,0.05111283358161971
61,macrophage,Scaden,counts2umi,ib,0.7623697499466954,0.051547047284135186
62,granulocyte,Scaden,counts2umi,ib,0.4483036585743137,0.11782010361636505
63,basophil,Scaden,counts2umi,ib,0.522784047464821,0.07772073471184313
64,monocyte,Scaden,counts2umi,ib,0.6077962782604075,0.07654084106479275
65,Bcell_sum,Scaden,counts2umi,ib,0.46758486027583185,0.12533768824746988
66,hematopoietic precursor cell,Scaden,umi2counts,ib,0.2468846193311499,0.2624572120372165
67,macrophage,Scaden,umi2counts,ib,0.8302535863939023,0.04221598610586707
68,granulocyte,Scaden,umi2counts,ib,0.7780619941002221,0.056581012585988785
69,basophil,Scaden,umi2counts,ib,0.207092586594551,0.11889927594951026
70,monocyte,Scaden,umi2counts,ib,0.9030951824999262,0.03957943667975086
71,Bcell_sum,Scaden,umi2counts,ib,0.5436706290846208,0.1062887213689841
72,hematopoietic precursor cell,MuSiC,counts2umi,lpb,0.31608686770456623,0.17502261123339177
73,granulocyte,MuSiC,counts2umi,lpb,0.8243839652456953,0.06043402636845816
