,Bcells,CD4Tcells,CD8Tcells,Dendritics,Monocytes,NK,Type,Stage,donor,healthy,LMR,MLR,model,P-value,Correlation,RMSE
lnc_10,0.25001076,0.20059289,0.18508905,0.018408325,0.24211136,0.10378764,mild,R,2,0,2.625621119141208,0.3808622625365998,TAPE,,,
lnc_11,0.23776382,0.16261376,0.13923405,0.029479558,0.3020594,0.12884939,mild,T,2,6,1.7864421037716425,0.5597718492464664,TAPE,,,
lnc_13,0.2696736,0.059026062,0.08087944,0.08154891,0.37691465,0.13195735,serious,C,14,5,1.0866627285514108,0.920248733784274,TAPE,,,
lnc_14,0.28146836,0.12051669,0.10401058,0.041213885,0.30812445,0.14466615,serious,T,14,8,1.642179418089022,0.608946859877031,TAPE,,,
lnc_15,0.22137216,0.20345931,0.13533694,0.007154215,0.27825293,0.15442449,serious,R,14,2,2.0131626646303418,0.496730849210151,TAPE,,,
lnc_16,0.29347238,0.124040216,0.10256,0.060833633,0.26429513,0.15479861,moderate,T,10,7,1.9677721492635905,0.5081889183024748,TAPE,,,
lnc_17,0.2679448,0.16022444,0.15705518,0.023025973,0.1684365,0.22331317,moderate,C,10,4,3.4744513214178636,0.28781522821621147,TAPE,,,
lnc_18,0.26068783,0.16980517,0.15459451,0.019730318,0.2278721,0.1673101,moderate,R,10,1,2.567613630628761,0.38946669704161,TAPE,,,
lnc_19,0.21311393,0.14951292,0.16799346,0.024769774,0.28570998,0.15890001,mild,T,3,6,1.85719907299003,0.5384452396856049,TAPE,,,
lnc_20,0.15639544,0.21296228,0.19011489,0.032871135,0.30311936,0.10453684,mild,R,3,0,1.8457171788697364,0.5417948163717969,TAPE,,,
lnc_21,0.23413664,0.1337224,0.12909916,0.03089014,0.32384574,0.14830595,mild,C,3,3,1.53455222230189,0.6516558937954943,TAPE,,,
lnc_23,0.098647445,0.19425063,0.1706151,0.042248555,0.35316914,0.1410691,serious,C,15,5,1.3124396287852331,0.7619398089385485,TAPE,,,
